full_name,position,team,age,bye_week,status,years_exp,player_id,espn_id,yahoo_id,sportradar_id,gsis_id,passing_yards_2024,passing_tds_2024,rushing_yards_2024,rushing_tds_2024,carries_2024,receptions_2024,receiving_yards_2024,receiving_tds_2024,targets_2024,passing_yards_2025,passing_tds_2025,rushing_yards_2025,rushing_tds_2025,carries_2025,receptions_2025,receiving_yards_2025,receiving_tds_2025,targets_2025,snap_share_2024,target_share_2024,snap_share_2025,target_share_2025,adp,adp_rank,ecr_rank,ecr_tier,sos_season,proj_points,custom_proj_points,proj_divergence,bonus_points,total_points,fp_total_points,vols,games,wk_mean,wk_std,boom_rate,bust_rate,consistency,is_rookie,draft_pick,availability,team_changed,team_stayed,cv_rel,new_hc_team,floor,ceiling,p10,p90,P_pos1,P_pos2,P_pos3,p_elite,p_startable,p_bust,floor_healthy,ceiling_healthy,xppg,xppg_diff,switched_team,regression,team_implied_total,team_env,overall_rank,pos_rank,pos_label,team_role,role_lead,role_env_ok,rank_ecr,proj_outlier,rank_composite,value_gap,market,risk_tier
Jahmyr Gibbs,RB,DET,24.0,6.0,Active,3.0,9221,,,fef9457e-6497-47de-9bf2-cc3b95929375,00-0039139,0.0,0.0,1412.0,16.0,250.0,52.0,517.0,4.0,63.0,0.0,0.0,1223.0,13.0,243.0,77.0,616.0,5.0,94.0,0.553,0.121,0.67,0.171,1.6,1.6,4.0,1.0,5 out of 5 stars,372.5,367.294,0.02,69.694,411.769,436.988,198.395,34.0,21.582,11.074,0.412,0.029,0.513,False,,0.879,False,True,0.572,False,297.697,533.052,212.97,608.647,0.733,0.152,0.04,0.316,0.91,0.09,324.835,489.825,18.082,3.487,False,Sustainable,26.1,1.136,1,1,RB1,RB1,279.5,True,2,False,1,1,fair,Balanced
Bijan Robinson,RB,ATL,24.0,11.0,Active,3.0,9509,,,f78d68c2-f9da-48e7-b954-26b69efd828d,00-0038542,0.0,0.0,1456.0,14.0,304.0,61.0,431.0,1.0,72.0,0.0,0.0,1478.0,7.0,287.0,79.0,820.0,4.0,103.0,0.754,0.134,0.782,0.198,2.7,2.7,2.0,1.0,2 out of 5 stars,370.1,357.603,0.054,70.741,401.511,428.344,188.137,34.0,21.015,8.509,0.529,0.0,0.405,False,,0.895,False,True,0.451,True,318.923,516.486,250.383,574.128,0.776,0.133,0.023,0.296,0.922,0.078,339.526,476.536,18.716,2.24,False,Sustainable,21.1,0.919,2,2,RB2,RB1,278.3,True,1,False,2,1,fair,Safe
Christian McCaffrey,RB,SF,30.0,8.0,Active,9.0,4034,3117251.0,30121.0,f96db0af-5e25-42d1-a07a-49b4e065b364,00-0033280,0.0,0.0,202.0,0.0,50.0,15.0,146.0,0.0,19.0,0.0,0.0,1202.0,10.0,311.0,102.0,924.0,7.0,129.0,0.722,0.037,0.831,0.235,6.2,6.2,8.0,2.0,2 out of 5 stars,342.4,346.881,0.019,67.083,389.988,413.964,176.614,21.0,22.21,8.935,0.571,0.0,0.402,False,,0.743,False,True,0.449,False,182.187,579.826,111.472,685.766,0.573,0.152,0.107,0.331,0.782,0.218,309.992,460.938,22.968,-1.047,False,Sustainable,25.0,1.089,3,3,RB3,RB1,299.7,True,5,False,3,3,fair,Injury Risk
Puka Nacua,WR,LAR,25.0,11.0,Active,3.0,9493,,,111be44d-7bc2-4cad-934d-c9e946293b2f,00-0039075,0.0,0.0,46.0,1.0,11.0,79.0,990.0,3.0,106.0,0.0,0.0,105.0,1.0,10.0,129.0,1715.0,10.0,166.0,0.697,0.196,0.682,0.286,3.7,3.7,3.0,1.0,1 out of 5 stars,355.5,355.929,0.001,43.04,361.963,398.97,147.59,27.0,21.615,10.178,0.519,0.074,0.471,False,,0.85,False,True,0.51,False,260.629,469.022,189.865,529.403,0.667,0.156,0.063,0.334,0.861,0.139,298.603,423.126,19.148,2.258,False,Sustainable,26.3,1.145,4,1,WR1,WR1,126.6,True,4,False,4,0,fair,Balanced
Ja'Marr Chase,WR,CIN,26.0,6.0,Active,5.0,7564,,,fa99e984-d63b-4ef4-a164-407f68a7eeaf,00-0036900,0.0,0.0,32.0,0.0,3.0,127.0,1708.0,17.0,175.0,0.0,0.0,14.0,0.0,3.0,125.0,1412.0,8.0,185.0,0.923,0.279,0.944,0.304,4.6,4.6,1.0,1.0,4 out of 5 stars,335.6,335.163,0.002,44.296,359.723,379.459,145.351,33.0,21.776,11.618,0.515,0.061,0.534,False,,0.892,False,True,0.578,False,278.899,449.761,229.243,502.038,0.694,0.176,0.051,0.292,0.902,0.098,295.494,419.905,18.953,2.762,False,Sustainable,26.0,1.132,5,2,WR2,WR1,124.7,True,3,False,5,0,fair,Balanced
Amon-Ra St. Brown,WR,DET,26.0,6.0,Active,5.0,7547,,,26ef0447-29b8-4dd1-9831-dcbf8132bb74,00-0036963,7.0,1.0,6.0,0.0,2.0,115.0,1263.0,12.0,141.0,0.0,0.0,9.0,0.0,3.0,117.0,1401.0,11.0,172.0,0.883,0.27,0.852,0.313,8.2,8.2,6.0,2.0,4 out of 5 stars,319.4,322.833,0.016,38.909,342.899,361.742,128.526,34.0,18.946,10.044,0.412,0.059,0.53,False,,0.901,False,True,0.574,False,268.132,426.625,223.986,474.243,0.639,0.212,0.068,0.231,0.895,0.105,281.87,399.84,17.773,1.481,False,Sustainable,26.1,1.136,7,3,WR3,WR1,121.1,True,6,False,6,1,fair,Balanced
Jonathan Taylor,RB,IND,27.0,13.0,Active,6.0,6813,4242335.0,32711.0,925195a4-06ba-4e37-ae7d-a3d6a5419139,00-0036223,0.0,0.0,1431.0,11.0,303.0,18.0,136.0,1.0,31.0,0.0,0.0,1585.0,18.0,323.0,46.0,378.0,2.0,55.0,0.803,0.063,0.826,0.104,8.2,8.2,10.0,2.0,4 out of 5 stars,309.7,307.89,0.009,69.761,350.979,377.651,137.605,31.0,19.645,11.137,0.355,0.065,0.567,False,,0.811,False,True,0.632,False,212.6,483.893,132.579,560.129,0.549,0.217,0.104,0.204,0.827,0.173,274.36,419.973,17.806,1.774,False,Sustainable,23.4,1.019,6,4,RB4,RB1,307.4,True,8,False,7,2,fair,Injury Risk
Jaxon Smith-Njigba,WR,SEA,24.0,11.0,Active,3.0,9488,,,6215db71-1e13-4c62-8f14-2005d33dee47,00-0038543,35.0,0.0,26.0,0.0,5.0,100.0,1130.0,6.0,137.0,0.0,0.0,36.0,0.0,7.0,119.0,1793.0,10.0,163.0,0.864,0.241,0.774,0.358,5.8,5.8,5.0,1.0,3 out of 5 stars,337.0,329.85,0.033,38.871,341.921,368.721,127.548,34.0,18.085,8.668,0.441,0.118,0.479,False,,0.909,False,True,0.519,False,271.253,421.298,230.38,468.901,0.642,0.221,0.064,0.213,0.904,0.096,281.069,398.843,15.406,2.481,False,Sustainable,24.7,1.076,8,4,WR4,WR1,146.5,True,7,False,8,-2,fair,Balanced
De'Von Achane,RB,MIA,24.0,6.0,Active,3.0,9226,,,a4ef921b-8767-4b4f-a651-7675c00f9af0,00-0039040,0.0,0.0,907.0,6.0,203.0,78.0,592.0,6.0,87.0,0.0,0.0,1350.0,8.0,238.0,67.0,488.0,4.0,85.0,0.624,0.153,0.754,0.184,12.8,12.8,13.0,3.0,3 out of 5 stars,310.3,298.401,0.061,63.319,325.657,361.72,112.283,33.0,18.87,8.207,0.394,0.091,0.435,False,,0.837,False,True,0.485,True,224.281,443.929,140.632,500.575,0.524,0.261,0.098,0.134,0.844,0.156,275.078,386.47,16.392,2.456,False,Sustainable,19.3,0.84,9,5,RB5,RB1,269.0,False,9,False,9,4,fair,Injury Risk
CeeDee Lamb,WR,DAL,27.0,14.0,Active,6.0,6786,4241389.0,32687.0,a72ea15b-5199-4101-a300-846e1c655add,00-0036358,0.0,0.0,70.0,0.0,14.0,101.0,1194.0,6.0,152.0,0.0,0.0,2.0,0.0,1.0,75.0,1077.0,3.0,117.0,0.802,0.244,0.729,0.193,10.5,10.5,7.0,2.0,2 out of 5 stars,273.5,287.256,0.076,35.377,308.562,322.633,94.189,28.0,16.582,7.245,0.25,0.071,0.437,False,,0.859,False,True,0.473,False,228.347,396.249,172.866,444.958,0.496,0.24,0.114,0.149,0.804,0.196,253.743,356.334,17.301,-0.719,False,Sustainable,25.6,1.115,18,5,WR5,WR1,48.0,True,13,False,10,-8,fair,Safe
