# 2026 D/ST draft rankings — SCORED under the real ESPN tiers (load_dst.py, 2024-25 defense,
# shrunk + 2026-SOS-tilted). D/ST is a streamer: draft one in your last 2-3 rounds. Regenerate
# with `.venv/bin/python load_dst.py`. proj = projected season D/ST points; sos_opp_ppg = avg
# 2026 opponent offensive PPG (lower = easier schedule).
rank,team,tier,proj,sos_opp_ppg
1,DEN,1,131.9,22.1
2,HOU,1,119.4,23.2
3,SEA,1,117.4,22.8
4,PHI,1,113.0,22.7
5,MIN,2,110.7,23.9
6,LAC,2,103.0,23.0
7,BUF,2,100.8,22.7
8,PIT,2,99.0,22.7
9,GB,3,94.1,23.6
10,DET,3,90.0,22.1
11,CLE,3,89.6,22.5
12,LAR,3,88.6,23.6
13,ATL,4,83.6,23.1
14,BAL,4,80.4,22.4
15,CHI,4,79.1,24.0
16,TB,4,78.9,22.7
17,KC,5,78.8,22.8
18,NE,5,78.3,23.2
19,JAX,5,75.0,22.6
20,NO,5,74.6,22.6
