full_name,position,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,pass_att,pass_yds,pass_td,pass_int,fg_made,fg_att,pat_made
Germie Bernard,WR,2.143,11.653,0.082,47.116,593.664,3.204,,,,,,,
Jaydon Blue,RB,48.65,205.038,1.529,8.758,61.816,0.391,,,,,,,
Luther Burden III,WR,9.143,49.556,0.397,75.06,937.588,5.078,,,,,,,
Bo Melton,WR,4.482,25.991,0.142,2.942,37.508,0.253,,,,,,,
Kevin Coleman Jr.,WR,,,,21.125,270.512,0.666,,,,,,,
Tanner McKee,QB,1.028,3.741,0.037,,,,21.642,153.126,0.955,0.493,,,
Travis Kelce,TE,,,,73.758,769.541,4.481,,,,,,,
Geno Smith,QB,58.03,219.903,1.04,,,,530.6,3813.093,20.344,14.339,,,
Braelon Allen,RB,82.541,347.635,2.902,12.723,89.514,0.423,,,,,,,
Kaytron Allen,RB,12.246,50.653,0.433,4.228,28.889,0.175,,,,,,,
Demond Claiborne,RB,26.321,110.126,0.782,4.5,29.44,0.167,,,,,,,
Jordan James,RB,70.765,302.311,2.018,8.143,63.053,0.347,,,,,,,
Travis Hunter,WR,2.008,10.779,0.073,41.62,496.157,3.3,,,,,,,
Cade Klubnik,QB,1.501,6.651,0.079,,,,21.798,143.327,0.765,0.829,,,
Trevor Etienne,RB,12.322,52.457,0.297,4.106,29.647,0.152,,,,,,,
Denzel Boston,WR,,,,51.605,638.111,2.763,,,,,,,
Kyle Juszczyk,RB,4.423,18.593,0.151,20.353,162.433,0.962,,,,,,,
Omarion Hampton,RB,270.364,1152.635,9.86,55.926,393.455,1.897,,,,,,,
Ty Simpson,QB,1.098,4.825,0.062,,,,21.857,146.366,1.195,0.585,,,
Adam Randall,RB,29.262,121.21,0.912,3.618,28.805,0.196,,,,,,,
D'Andre Swift,RB,219.424,995.409,8.164,30.434,269.545,1.129,,,,,,,
Brenen Thompson,WR,2.08,11.308,0.099,9.54,121.011,0.706,,,,,,,
Matthew Golden,WR,4.482,24.882,0.168,66.781,871.94,4.728,,,,,,,
Nicholas Singleton,RB,20.267,83.431,0.549,4.292,29.899,0.156,,,,,,,
Ty Johnson,RB,50.751,219.183,2.121,21.631,207.999,1.301,,,,,,,
Max Klare,TE,,,,4.025,38.154,0.36,,,,,,,
DJ Moore,WR,6.921,35.917,0.387,67.164,945.757,7.015,,,,,,,
Tetairoa McMillan,WR,,,,83.388,1200.276,6.288,,,,,,,
