Rank,Player (Team / Bye),POS,AVG
1,Jahmyr Gibbs   DET (6),RB1,1.0
2,Bijan Robinson   ATL (11),RB2,2.0
3,Ja'Marr Chase   CIN (6),WR1,3.0
4,Puka Nacua   LAR (11),WR2,4.0
5,Jaxon Smith-Njigba   SEA (11),WR3,5.0
6,Christian McCaffrey   SF (8),RB3,6.0
7,Amon-Ra St. Brown   DET (6),WR4,7.0
8,Jonathan Taylor   IND (13),RB4,8.5
9,Ashton Jeanty   LV (13),RB5,9.5
10,Justin Jefferson   MIN (6),WR5,10.0
11,James Cook III   BUF (7),RB6,11.0
12,CeeDee Lamb   DAL (14),WR6,11.0
13,Saquon Barkley   PHI (10),RB7,14.5
14,Omarion Hampton   LAC (7),RB8,15.0
15,Chase Brown   CIN (6),RB9,15.0
16,De'Von Achane   MIA (6),RB10,16.0
17,Kenneth Walker III   KC (5),RB11,16.0
18,Drake London   ATL (11),WR7,17.0
19,Brock Bowers   LV (13),TE1,19.5
20,A.J. Brown   NE (11),WR8,20.0
21,Derrick Henry   BAL (13),RB12,21.0
22,Trey McBride   ARI (14),TE2,22.0
23,Nico Collins   HOU (8),WR9,23.0
24,George Pickens   DAL (14),WR10,24.0
25,Jeremiyah Love   ARI (14),RB13,25.0
26,Rashee Rice   KC (5),WR11,27.0
27,Josh Allen   BUF (7),QB1,28.5
28,DeVonta Smith   PHI (10),WR12,28.5
29,Chris Olave   NO (8),WR13,28.5
30,Breece Hall   NYJ (13),RB14,28.5
31,Kyren Williams   LAR (11),RB15,31.0
32,Zay Flowers   BAL (13),WR14,32.0
33,Travis Etienne Jr.   NO (8),RB16,34.0
34,Javonte Williams   DAL (14),RB17,35.0
35,Ladd McConkey   LAC (7),WR15,36.5
36,Garrett Wilson   NYJ (13),WR16,36.5
37,Malik Nabers   NYG (8),WR17,37.0
38,Tee Higgins   CIN (6),WR18,37.0
39,Emeka Egbuka   TB (10),WR19,37.5
40,Tetairoa McMillan   CAR (5),WR20,38.5
41,Colston Loveland   CHI (10),TE3,41.5
42,Josh Jacobs   GB (11),RB18,42.0
43,Luther Burden III   CHI (10),WR21,42.0
44,Terry McLaurin   WAS (7),WR22,43.0
45,Cam Skattebo   NYG (8),RB19,44.5
46,Jaylen Waddle   DEN (10),WR23,46.0
47,Davante Adams   LAR (11),WR24,50.0
48,David Montgomery   HOU (8),RB20,50.5
49,Lamar Jackson   BAL (13),QB2,50.5
50,D'Andre Swift   CHI (10),RB21,52.0
51,Jameson Williams   DET (6),WR25,52.0
52,TreVeyon Henderson   NE (11),RB22,53.0
53,Mike Evans   SF (8),WR26,54.0
54,Quinshon Judkins   CLE (11),RB23,54.0
55,DJ Moore   BUF (7),WR27,54.5
56,Christian Watson   GB (11),WR28,54.5
