season,team,playcaller,pc_prev,pc_changed
2019,ARI,Kliff Kingsbury,,False
2020,ARI,Kliff Kingsbury,Kliff Kingsbury,False
2021,ARI,Kliff Kingsbury,Kliff Kingsbury,False
2022,ARI,Kliff Kingsbury,Kliff Kingsbury,False
2023,ARI,Drew Petzing,Kliff Kingsbury,True
2024,ARI,Drew Petzing,Drew Petzing,False
2025,ARI,Drew Petzing,Drew Petzing,False
2019,ATL,Dirk Koetter,,False
2020,ATL,Dirk Koetter,Dirk Koetter,False
2021,ATL,Arthur Smith,Dirk Koetter,True
2022,ATL,Arthur Smith,Arthur Smith,False
2023,ATL,Arthur Smith,Arthur Smith,False
2024,ATL,Zac Robinson,Arthur Smith,True
2025,ATL,Zac Robinson,Zac Robinson,False
2019,BAL,Greg Roman,,False
2020,BAL,Greg Roman,Greg Roman,False
2021,BAL,Greg Roman,Greg Roman,False
2022,BAL,Greg Roman,Greg Roman,False
2023,BAL,Todd Monken,Greg Roman,True
2024,BAL,Todd Monken,Todd Monken,False
2025,BAL,Todd Monken,Todd Monken,False
2019,BUF,Brian Daboll,,False
2020,BUF,Brian Daboll,Brian Daboll,False
2021,BUF,Brian Daboll,Brian Daboll,False
2022,BUF,Ken Dorsey,Brian Daboll,True
2023,BUF,Ken Dorsey,Ken Dorsey,False
2024,BUF,Joe Brady,Ken Dorsey,True
2025,BUF,Joe Brady,Joe Brady,False
2019,CAR,Norv Turner,,False
2020,CAR,Joe Brady,Norv Turner,True
2021,CAR,Joe Brady,Joe Brady,False
2022,CAR,Ben McAdoo,Joe Brady,True
2023,CAR,Frank Reich,Ben McAdoo,True
2024,CAR,Dave Canales,Frank Reich,True
2025,CAR,Dave Canales,Dave Canales,False
2019,CHI,Matt Nagy,,False
2020,CHI,Matt Nagy,Matt Nagy,False
2021,CHI,Matt Nagy,Matt Nagy,False
2022,CHI,Luke Getsy,Matt Nagy,True
2023,CHI,Luke Getsy,Luke Getsy,False
2024,CHI,Shane Waldron,Luke Getsy,True
2025,CHI,Ben Johnson,Shane Waldron,True
2019,CIN,Zac Taylor,,False
2020,CIN,Zac Taylor,Zac Taylor,False
2021,CIN,Zac Taylor,Zac Taylor,False
2022,CIN,Zac Taylor,Zac Taylor,False
2023,CIN,Zac Taylor,Zac Taylor,False
2024,CIN,Zac Taylor,Zac Taylor,False
2025,CIN,Zac Taylor,Zac Taylor,False
2019,CLE,Freddie Kitchens,,False
2020,CLE,Kevin Stefanski,Freddie Kitchens,True
2021,CLE,Kevin Stefanski,Kevin Stefanski,False
2022,CLE,Kevin Stefanski,Kevin Stefanski,False
2023,CLE,Kevin Stefanski,Kevin Stefanski,False
2024,CLE,Kevin Stefanski,Kevin Stefanski,False
2025,CLE,Kevin Stefanski,Kevin Stefanski,False
2019,DAL,Kellen Moore,,False
2020,DAL,Kellen Moore,Kellen Moore,False
2021,DAL,Kellen Moore,Kellen Moore,False
2022,DAL,Kellen Moore,Kellen Moore,False
2023,DAL,Mike McCarthy,Kellen Moore,True
2024,DAL,Mike McCarthy,Mike McCarthy,False
2025,DAL,Brian Schottenheimer,Mike McCarthy,True
2019,DEN,Rich Scangarello,,False
2020,DEN,Pat Shurmur,Rich Scangarello,True
2021,DEN,Pat Shurmur,Pat Shurmur,False
2022,DEN,Nathaniel Hackett,Pat Shurmur,True
2023,DEN,Sean Payton,Nathaniel Hackett,True
2024,DEN,Sean Payton,Sean Payton,False
2025,DEN,Sean Payton,Sean Payton,False
2019,DET,Darrell Bevell,,False
2020,DET,Darrell Bevell,Darrell Bevell,False
2021,DET,Anthony Lynn,Darrell Bevell,True
2022,DET,Ben Johnson,Anthony Lynn,True
2023,DET,Ben Johnson,Ben Johnson,False
2024,DET,Ben Johnson,Ben Johnson,False
2025,DET,John Morton,Ben Johnson,True
2019,GB,Matt LaFleur,,False
2020,GB,Matt LaFleur,Matt LaFleur,False
2021,GB,Matt LaFleur,Matt LaFleur,False
2022,GB,Matt LaFleur,Matt LaFleur,False
2023,GB,Matt LaFleur,Matt LaFleur,False
2024,GB,Matt LaFleur,Matt LaFleur,False
2025,GB,Matt LaFleur,Matt LaFleur,False
2019,HOU,Bill O'Brien,,False
2020,HOU,Tim Kelly,Bill O'Brien,True
2021,HOU,Tim Kelly,Tim Kelly,False
2022,HOU,Pep Hamilton,Tim Kelly,True
2023,HOU,Bobby Slowik,Pep Hamilton,True
2024,HOU,Bobby Slowik,Bobby Slowik,False
2025,HOU,Nick Caley,Bobby Slowik,True
2019,IND,Frank Reich,,False
2020,IND,Frank Reich,Frank Reich,False
2021,IND,Frank Reich,Frank Reich,False
2022,IND,Frank Reich,Frank Reich,False
2023,IND,Shane Steichen,Frank Reich,True
2024,IND,Shane Steichen,Shane Steichen,False
2025,IND,Shane Steichen,Shane Steichen,False
2019,JAX,John DeFilippo,,False
2020,JAX,Jay Gruden,John DeFilippo,True
2021,JAX,Darrell Bevell,Jay Gruden,True
2022,JAX,Doug Pederson,Darrell Bevell,True
2023,JAX,Doug Pederson,Doug Pederson,False
2024,JAX,Press Taylor,Doug Pederson,True
