source,full_name,position,pass_yds,pass_td,pass_int,pass_att,rush_yds,rush_td,rush_att,rec,rec_yds,rec_td,fumbles_lost,pts_scoring_config,key,adp_espn,adp_sleeper,season,archived_at
fantasypros,Brandon Aubrey,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,brandon aubrey,84.8,,2026,2026-07-28
fantasypros,Jason Myers,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.3,jason myers,120.8,,2026,2026-07-28
fantasypros,Ka'imi Fairbairn,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6,ka imi fairbairn,132.5,,2026,2026-07-28
fantasypros,Cameron Dicker,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2,cameron dicker,110.0,,2026,2026-07-28
fantasypros,Harrison Mevis,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.9,harrison mevis,136.3,,2026,2026-07-28
fantasypros,Jake Bates,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,jake bates,154.0,,2026,2026-07-28
fantasypros,Chase McLaughlin,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.3,chase mclaughlin,168.3,,2026,2026-07-28
fantasypros,Cairo Santos,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,cairo santos,166.2,,2026,2026-07-28
fantasypros,Eddy Pineiro,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,eddy pineiro,149.6,,2026,2026-07-28
fantasypros,Tyler Loop,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.7,tyler loop,161.9,,2026,2026-07-28
fantasypros,Harrison Butker,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.9,harrison butker,152.1,,2026,2026-07-28
fantasypros,Will Reichard,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,will reichard,165.2,,2026,2026-07-28
fantasypros,Cam Little,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,cam little,136.9,,2026,2026-07-28
fantasypros,Evan McPherson,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.7,evan mcpherson,168.7,,2026,2026-07-28
fantasypros,Nick Folk,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,nick folk,169.8,,2026,2026-07-28
fantasypros,Wil Lutz,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4,wil lutz,170.3,,2026,2026-07-28
fantasypros,Trey Smack,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6,trey smack,169.6,,2026,2026-07-28
fantasypros,Tyler Bass,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.7,tyler bass,169.9,,2026,2026-07-28
fantasypros,Charlie Smyth,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,charlie smyth,,,2026,2026-07-28
fantasypros,Jake Moody,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.6,jake moody,169.8,,2026,2026-07-28
fantasypros,Andy Borregales,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,andy borregales,170.3,,2026,2026-07-28
fantasypros,Jake Elliott,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.7,jake elliott,169.2,,2026,2026-07-28
fantasypros,Chris Boswell,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,chris boswell,162.1,,2026,2026-07-28
