dt,team,player_name,gsis_id,espn_id,pos_grp,pos_abb,pos_slot,pos_rank
2026-07-31T09:40:30Z,ARI,Josh Sweat,00-0034381,3693166,Base 4-3 D,LDE,1,1
2026-07-31T09:40:30Z,ARI,Roy Lopez,00-0036568,4040805,Base 4-3 D,LDT,2,1
2026-07-31T09:40:30Z,ARI,Walter Nolen III,00-0040706,4685503,Base 4-3 D,RDT,3,1
2026-07-31T09:40:30Z,ARI,Darius Robinson,00-0039854,4569480,Base 4-3 D,RDE,4,1
2026-07-31T09:40:30Z,ARI,Cody Simon,00-0040645,4429071,Base 4-3 D,WLB,5,1
2026-07-31T09:40:30Z,ARI,Mack Wilson Sr.,00-0035144,4040983,Base 4-3 D,MLB,6,1
2026-07-31T09:40:30Z,ARI,Zaven Collins,00-0036933,4244606,Base 4-3 D,SLB,7,1
2026-07-31T09:40:30Z,ARI,Will Johnson,00-0040751,4685408,Base 4-3 D,LCB,8,1
2026-07-31T09:40:30Z,ARI,Budda Baker,00-0033890,3127287,Base 4-3 D,SS,9,1
2026-07-31T09:40:30Z,ARI,Andrew Wingard,00-0035378,3918331,Base 4-3 D,FS,10,1
2026-07-31T09:40:30Z,ARI,Denzel Burke,00-0040195,4432668,Base 4-3 D,RCB,11,1
2026-07-31T09:40:30Z,ARI,Garrett Williams,00-0039007,4568506,Base 4-3 D,NB,12,1
2026-07-31T09:40:30Z,ARI,Jordan Burch,00-0040137,4428996,Base 4-3 D,LDE,1,2
2026-07-31T09:40:30Z,ARI,PJ Mustipher,00-0038795,4361421,Base 4-3 D,LDT,2,2
2026-07-31T09:40:30Z,ARI,Andrew Billings,00-0033066,3051775,Base 4-3 D,RDT,3,2
2026-07-31T09:40:30Z,ARI,Dante Stills,00-0038623,4362225,Base 4-3 D,RDE,4,2
2026-07-31T09:40:30Z,ARI,Owen Pappoe,00-0038600,4567219,Base 4-3 D,WLB,5,2
2026-07-31T09:40:30Z,ARI,Jack Gibbens,00-0037596,4249739,Base 4-3 D,MLB,6,2
2026-07-31T09:40:30Z,ARI,Baron Browning,00-0036995,4241987,Base 4-3 D,SLB,7,2
2026-07-31T09:40:30Z,ARI,Sean Murphy-Bunting,00-0035239,3932886,Base 4-3 D,LCB,8,2
2026-07-31T09:40:30Z,ARI,Kitan Crawford,00-0040230,4430821,Base 4-3 D,SS,9,2
2026-07-31T09:40:30Z,ARI,Dadrion Taylor-Demerson,00-0039864,4428633,Base 4-3 D,FS,10,2
2026-07-31T09:40:30Z,ARI,Starling Thomas V,00-0038663,4363408,Base 4-3 D,RCB,11,2
2026-07-31T09:40:30Z,ARI,Isaiah Oliver,00-0034357,3915437,Base 4-3 D,NB,12,2
2026-07-31T09:40:30Z,ARI,Jonah Williams,00-0035944,4032481,Base 4-3 D,LDE,1,3
