espn_id,full_name,position,pro_team_id,adp,adp_pct_change,pct_owned,pct_started,proj_total_espn_default,proj_rush_att,proj_rush_yds,proj_rush_td,proj_rec,proj_rec_yds,proj_rec_td,proj_pass_att,proj_pass_yds,proj_pass_td,proj_pass_int,proj_fg_made,proj_fg_att,proj_pat_made,nn
15755,Fozzy Whittaker,RB,0,,,,,,,,,,,,,,,,,,,fozzy whittaker
15758,Jeremy Kelley,WR,3,,,,,,,,,,,,,,,,,,,jeremy kelley
4242896,Curtis Hodges,TE,0,,,,,,,,,,,,,,,,,,,curtis hodges
4685261,Germie Bernard,WR,23,170.38,0.05,8.21,0.39,,2.143,11.653,0.082,47.117,593.672,3.204,,,,,,,,germie bernard
4029893,Antonio Gandy-Golden,TE,28,,,,,,,,,,,,,,,,,,,antonio gandy golden
15765,Austin Johnson,RB,27,,,,,,,,,,,,,,,,,,,austin johnson
15773,Darren Fells,TE,0,,,,,,,,,,,,,,,,,,,darren fells
4685279,Jaydon Blue,RB,6,169.99,0.05,2.2,0.28,,48.651,205.039,1.529,8.758,61.816,0.391,,,,,,,,jaydon blue
15775,Ifeanyi Momah,TE,0,,,,,,,,,,,,,,,,,,,ifeanyi momah
3128774,Kalen Ballage,RB,0,,,,,,,,,,,,,,,,,,,kalen ballage
4685278,Luther Burden III,WR,3,76.45,-0.25,90.56,29.04,,9.143,49.556,0.397,75.06,937.589,5.078,,,,,,,,luther burden
15776,Brandon Bogotay,K,27,,,,,,,,,,,,,,,,,,,brandon bogotay
15779,Havard Rugland,K,0,,,,,,,,,,,,,,,,,,,havard rugland
15780,Sederrik Cunningham,WR,9,,,,,,,,,,,,,,,,,,,sederrik cunningham
15783,Austin Signor,K,0,,,,,,,,,,,,,,,,,,,austin signor
15786,Tavon Austin,WR,0,,,,,,,,,,,,,,,,,,,tavon austin
4259305,Bo Melton,WR,9,169.92,0.01,0.14,0.02,,4.482,25.991,0.142,2.942,37.508,0.253,,,,,,,,bo melton
