name,position,team,adp,high,low,stdev,times_drafted,bye,nn
Jahmyr Gibbs,RB,DET,1.6,1,4,0.7,938,6,jahmyr gibbs
Bijan Robinson,RB,ATL,2.1,1,4,0.8,665,11,bijan robinson
Puka Nacua,WR,LAR,2.9,1,6,0.7,230,11,puka nacua
Ja'Marr Chase,WR,CIN,3.9,1,7,1.0,1092,6,ja marr chase
Christian McCaffrey,RB,SF,5.2,2,10,1.2,546,8,christian mccaffrey
Jaxon Smith-Njigba,WR,SEA,6.0,2,11,1.2,657,11,jaxon smith njigba
Amon-Ra St. Brown,WR,DET,7.1,3,11,1.4,643,6,amon ra st brown
Jonathan Taylor,RB,IND,7.5,3,15,1.6,839,13,jonathan taylor
De'Von Achane,RB,MIA,9.3,4,15,1.9,317,6,de von achane
Drake London,WR,ATL,10.7,6,16,1.6,205,11,drake london
CeeDee Lamb,WR,DAL,11.2,7,18,2.0,677,14,ceedee lamb
Rashee Rice,WR,KC,11.5,7,19,1.7,159,5,rashee rice
Chase Brown,RB,CIN,12.3,6,19,2.3,658,6,chase brown
Justin Jefferson,WR,MIN,13.1,6,20,2.7,741,6,justin jefferson
Ashton Jeanty,RB,LV,14.2,6,22,3.1,605,13,ashton jeanty
James Cook III,RB,BUF,15.2,7,23,3.0,1343,7,james cook
Derrick Henry,RB,BAL,16.2,7,24,3.2,347,13,derrick henry
A.J. Brown,WR,NE,17.5,10,24,2.8,618,11,a j brown
Saquon Barkley,RB,PHI,18.6,9,28,3.4,1147,10,saquon barkley
Omarion Hampton,RB,LAC,19.8,10,30,3.7,1302,7,omarion hampton
Chris Olave,WR,NO,20.1,13,26,2.4,217,8,chris olave
George Pickens,WR,DAL,21.6,15,28,2.4,440,14,george pickens
Nico Collins,WR,HOU,23.1,16,30,2.5,579,8,nico collins
Josh Jacobs,RB,GB,24.7,17,32,2.7,364,11,josh jacobs
Jeremiyah Love,RB,ARI,25.2,17,32,3.1,278,14,jeremiyah love
Kenneth Walker III,RB,KC,26.6,17,38,3.7,1498,5,kenneth walker
Josh Allen,QB,BUF,26.6,10,42,6.3,622,7,josh allen
Zay Flowers,WR,BAL,26.7,19,33,2.8,269,13,zay flowers
Breece Hall,RB,NYJ,28.5,21,35,2.9,200,13,breece hall
Garrett Wilson,WR,NYJ,28.5,19,39,3.3,221,13,garrett wilson
DeVonta Smith,WR,PHI,29.1,19,39,3.6,643,10,devonta smith
Cam Skattebo,RB,NYG,30.5,21,40,3.4,338,8,cam skattebo
