sleeper_id,full_name,position,team,status,injury_status,injury_body_part,injury_start_date,injury_notes,news_updated,depth_chart_position,depth_chart_order,adp_ppr,adp_std,adp_half_ppr,adp_2qb,proj_pts_ppr,proj_pts_std,proj_rush_yds,proj_rush_att,proj_rec,proj_rec_yds,proj_rec_td,proj_fumbles_lost,proj_rush_td,proj_pass_yds,proj_pass_td,proj_pass_int,proj_pass_att,nn
6462,Ellis Richardson,TE,,Active,,,,,,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,ellis richardson
7926,Carl Tucker,TE,,Active,,,,,1631568053348.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,carl tucker
1408,Le'Veon Bell,RB,TB,Active,,,,,1784559344501.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,le veon bell
8074,Matt Seybert,TE,,Active,,,,,1629836727949.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,matt seybert
13175,Kinkead Dent,QB,,Inactive,,,,,,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,kinkead dent
11533,Brandon Aubrey,K,DAL,Active,,,,,1784989202366.0,K,1.0,171.1,109.5,148.1,158.2,116.0,116.0,,,,,,,,,,,,brandon aubrey
2801,DeAndrew White,WR,,Inactive,,,,,1598920530064.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,deandrew white
7918,A.J. Rose,RB,,Active,,,,,1661021115529.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,a j rose
5428,Ricky Jeune,WR,,Active,,,,,1535476203701.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,ricky jeune
13221,Brett Gabbert,QB,,Active,,,,,1754250907948.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,brett gabbert
11522,Jerome Kapp,WR,,Active,,,,,1693334405078.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,jerome kapp
2474,Nick Boyle,TE,,Active,,,,,1673388617497.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,nick boyle
8809,Aaron Shampklin,RB,,Active,,,,,1756225808845.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,aaron shampklin
9487,Parker Washington,WR,JAX,Active,,,,,1786035949777.0,SWR,2.0,83.2,83.3,81.1,103.0,212.4,140.4,58.0,10.0,72.0,906.0,7.0,,,,,,,parker washington
3342,Jakeem Grant,WR,,Active,,,,,1734242151808.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,jakeem grant
1684,Jaron Brown,WR,,Active,,,,,1602620149319.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,jaron brown
6918,Salvon Ahmed,RB,CHI,Active,,,,,1779338441131.0,RB,5.0,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,salvon ahmed
6137,Tommy Sweeney,TE,,Active,,,,,1729806320462.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,tommy sweeney
3561,Bryce Williams,TE,,Active,,,,,1523486701657.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,bryce williams
6786,CeeDee Lamb,WR,DAL,Active,,,,,1785364813311.0,RWR,1.0,10.6,14.3,10.3,15.6,270.5,174.5,16.0,3.0,96.0,1249.0,8.0,1.0,,,,,,ceedee lamb
5038,Michael Gallup,WR,,Active,,,,,1756160704849.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,michael gallup
11584,Bucky Irving,RB,TB,Active,,,,,1785528933822.0,RB,1.0,34.4,32.3,40.5,42.1,197.3,161.3,902.0,211.0,36.0,271.0,2.0,2.0,6.0,,,,,bucky irving
2023,De'Anthony Thomas,WR,,Inactive,,,,,1648441845359.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,de anthony thomas
11649,Kendall Milton,RB,CIN,Active,,,,,1771617656337.0,RB,5.0,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,kendall milton
6783,Jerry Jeudy,WR,CLE,Active,,,,,1785937836873.0,RWR,1.0,173.5,159.5,168.2,185.0,119.6,76.6,5.0,1.0,43.0,581.0,3.0,,,,,,,jerry jeudy
13600,Tyren Montgomery,WR,TEN,Active,,,,,1777593025492.0,SWR,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,tyren montgomery
11616,Jacob Cowing,WR,SF,Active,Questionable,Hip,,,1785989143371.0,SWR,9.0,999.0,999.0,999.0,999.0,1.7,0.7,,,1.0,7.0,,,,,,,,jacob cowing
5965,Miles Boykin,WR,,Active,,,,,1770940215825.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,miles boykin
13064,Dorian Singer,WR,,Active,,,,,1756503628936.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,dorian singer
4992,Dante Pettis,WR,BUF,Active,,,,,1785468325907.0,SWR,8.0,999.0,999.0,999.0,999.0,7.3,4.3,6.0,1.0,3.0,37.0,,,,,,,,dante pettis
11155,Christian Sims,TE,,Active,,,,,1693254649926.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,christian sims
9504,Kayshon Boutte,WR,NE,Active,,,,,1785862219282.0,LWR,3.0,178.7,164.2,173.3,189.7,94.6,63.6,,,31.0,456.0,3.0,,,,,,,kayshon boutte
4828,Rashard Davis,WR,,Active,,,,,1660682432289.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,rashard davis
4396,Drew Morgan,WR,,Active,,,,,1515031201931.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,drew morgan
4038,John Ross,WR,,Active,,,,,1733328318057.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,john ross
12507,Omarion Hampton,RB,LAC,Active,,,,,1785954038916.0,RB,1.0,18.8,12.2,14.7,27.9,242.9,194.9,1025.0,232.0,48.0,364.0,2.0,2.0,8.0,,,,,omarion hampton
11439,Jaleel McLaughlin,RB,DEN,Active,,,,,1784044832373.0,RB,5.0,999.0,999.0,999.0,999.0,7.5,5.5,40.0,10.0,2.0,15.0,,,,,,,,jaleel mclaughlin
11282,Johnny King,WR,,Active,,,,,1693347910321.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,johnny king
3730,Tevin Jones,WR,,Active,,,,,1627875617715.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,tevin jones
13302,Adam Randall,RB,BAL,Active,,,,,1784743816268.0,RB,3.0,999.0,999.0,999.0,999.0,30.1,22.1,103.0,25.0,8.0,58.0,,,1.0,,,,,adam randall
5718,Ryan Yurachek,TE,,Active,,,,,1578677115320.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,ryan yurachek
3916,David Watford,WR,,Active,,,,,,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,david watford
5530,Evan Berry,WR,,Active,,,,,1535493306660.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,evan berry
11445,Taylor Grimes,WR,,Active,,,,,1693323303780.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,taylor grimes
5619,Dalyn Dawkins,RB,,Active,,,,,1608771051119.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,dalyn dawkins
5122,Boston Scott,RB,,Active,,,,,1773865543815.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,boston scott
11629,Devontez Walker,WR,BAL,Active,,,,,1782240621352.0,RWR,5.0,999.0,999.0,999.0,999.0,12.2,7.2,6.0,1.0,5.0,66.0,,,,,,,,devontez walker
13295,Behren Morton,QB,NE,Active,,,,,1779920431712.0,QB,3.0,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,behren morton
2320,Melvin Gordon,RB,,Active,,,,,1705709157893.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,melvin gordon
1895,AJ McCarron,QB,,Active,,,,,1707938117372.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,aj mccarron
11906,Ty James,WR,,Active,,,,,1724094948013.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,ty james
12493,Oronde Gadsden,TE,LAC,Active,,,,,1785556237367.0,TE,1.0,94.7,83.1,102.2,106.3,141.8,85.8,,,56.0,618.0,4.0,,,,,,,oronde gadsden
12028,TaMerik Williams,RB,,Active,,,,,1719267625699.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,tamerik williams
12699,LaJohntay Wester,WR,BAL,Active,,,,,1782249624074.0,SWR,7.0,999.0,999.0,999.0,999.0,1.0,0.0,6.0,1.0,1.0,14.0,,1.0,,,,,,lajohntay wester
3488,D.J. Foster,RB,,Inactive,,,,,1626825947122.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,d j foster
13323,Rahsul Faison,RB,,Active,,,,,1777188327314.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,rahsul faison
