norm,position,adp,value,wk_p90,wk_p10,role,finish,season,ceiling,floor,value_rk,adp_rk,ceiling_rk,floor_rk,role_rk,_c
jonathan taylor,RB,1.3,226.50000000000003,32.74,9.760000000000002,383.0,152.4,2022,32.74,9.760000000000002,2.0,1.0,15.0,22.0,10.0,6.64
christian mccaffrey,RB,2.4,-23.099999999999994,26.740000000000002,5.0,140.0,358.36,2022,26.740000000000002,5.0,90.0,2.0,39.0,68.0,66.0,49.28
austin ekeler,RB,2.7,195.20000000000002,32.2,11.45,300.0,378.7,2022,32.2,11.45,3.0,3.0,17.0,16.0,19.0,8.83
derrick henry,RB,4.3,42.70000000000002,39.23,9.530000000000001,239.0,310.76,2022,39.23,9.530000000000001,58.0,4.0,3.0,25.0,31.0,25.539999999999996
justin jefferson,WR,4.6,164.19999999999996,30.320000000000004,12.244000000000002,173.0,366.66,2022,30.320000000000004,12.244000000000002,6.0,5.0,26.0,11.0,50.0,16.25
cooper kupp,WR,5.7,269.29999999999995,35.54,16.44,195.0,203.4,2022,35.54,16.44,1.0,6.0,11.0,2.0,44.0,10.82
najee harris,RB,7.1,150.1,26.520000000000003,6.380000000000001,401.0,227.46,2022,26.520000000000003,6.380000000000001,8.0,7.0,42.0,48.0,7.0,16.47
dalvin cook,RB,7.5,57.70000000000002,22.380000000000003,6.680000000000001,298.0,245.8,2022,22.380000000000003,6.680000000000001,47.0,8.0,63.0,41.0,20.0,33.71
ja marr chase,WR,8.7,138.4,30.380000000000003,5.98,135.0,246.4,2022,30.380000000000003,5.98,11.0,9.0,25.0,55.0,69.0,24.700000000000003
joe mixon,RB,10.1,139.30000000000004,29.75,8.45,340.0,239.5,2022,29.75,8.45,10.0,10.0,27.0,28.0,14.0,14.92
alvin kamara,RB,10.9,84.10000000000002,28.260000000000005,7.180000000000001,307.0,219.7,2022,28.260000000000005,7.180000000000001,28.0,11.0,32.0,35.0,17.0,22.46
davante adams,WR,12.0,176.1,33.75,11.05,169.0,335.5,2022,33.75,11.05,5.0,12.0,14.0,18.0,54.0,16.979999999999997
d andre swift,RB,12.8,60.30000000000001,24.259999999999998,6.500000000000001,229.0,189.10000000000002,2022,24.259999999999998,6.500000000000001,45.0,13.0,53.0,44.0,35.0,35.269999999999996
stefon diggs,WR,13.6,117.29999999999998,23.42,9.76,164.0,316.6,2022,23.42,9.76,16.0,14.0,57.0,23.0,57.0,29.419999999999995
aaron jones,RB,14.9,80.4,23.0,4.640000000000001,236.0,252.6,2022,23.0,4.640000000000001,31.0,15.0,60.0,72.0,33.0,34.59
saquon barkley,RB,15.5,0.0,20.820000000000004,3.72,219.0,282.0,2022,20.820000000000004,3.72,80.0,16.0,82.0,88.0,40.0,55.72
travis kelce,TE,16.5,105.80000000000001,24.75,6.0,136.0,316.3,2022,24.75,6.0,19.0,17.0,49.0,54.0,67.0,33.45
ceedee lamb,WR,17.5,64.6,26.0,4.3500000000000005,129.0,301.6,2022,26.0,4.3500000000000005,42.0,18.0,47.0,77.0,75.0,43.1
nick chubb,RB,18.8,66.70000000000002,26.410000000000004,6.23,253.0,281.40000000000003,2022,26.410000000000004,6.23,40.0,19.0,43.0,50.0,28.0,33.14
deebo samuel,WR,19.6,176.76000000000002,32.43000000000001,12.1,180.0,172.4,2022,32.43000000000001,12.1,4.0,20.0,16.0,12.0,47.0,17.97
javonte williams,RB,20.2,56.30000000000001,20.580000000000002,6.12,256.0,44.0,2022,20.580000000000002,6.12,48.0,21.0,86.0,53.0,27.0,43.94
josh allen,QB,20.4,156.55999999999995,40.532000000000004,17.176000000000002,474.58,471.52,2022,40.532000000000004,17.176000000000002,7.0,22.0,1.0,1.0,1.0,9.1
leonard fournette,RB,21.9,105.00000000000003,28.45000000000001,8.379999999999999,264.0,226.1,2022,28.45000000000001,8.379999999999999,20.0,23.0,30.0,29.0,26.0,24.229999999999997
tyreek hill,WR,22.7,130.29999999999998,34.52,4.08,168.0,341.2,2022,34.52,4.08,13.0,24.0,12.0,82.0,56.0,27.4
michael pittman,WR,24.9,68.39999999999998,20.66,5.2,134.0,218.5,2022,20.66,5.2,39.0,25.0,85.0,66.0,70.0,49.62
mark andrews,TE,25.5,138.10000000000002,31.340000000000003,8.52,154.0,188.5,2022,31.340000000000003,8.52,12.0,26.0,20.0,27.0,59.0,25.739999999999995
mike evans,WR,26.5,94.29999999999998,28.1,4.65,115.0,225.4,2022,28.1,4.65,22.0,27.0,33.0,71.0,81.0,37.76
ezekiel elliott,RB,27.7,97.46000000000001,22.536,6.380000000000001,302.0,185.8,2022,22.536,6.380000000000001,21.0,28.0,62.0,48.0,18.0,31.919999999999998
james conner,RB,28.4,107.1,31.02,6.420000000000002,241.0,202.2,2022,31.02,6.420000000000002,18.0,29.0,22.0,47.0,29.0,25.699999999999996
keenan allen,WR,29.5,87.6,20.3,10.3,157.0,166.0,2022,20.3,10.3,26.0,30.0,91.0,20.0,58.0,43.28
a j brown,WR,30.4,12.699999999999989,30.660000000000004,3.8600000000000008,107.0,303.6,2022,30.660000000000004,3.8600000000000008,73.0,31.0,23.0,87.0,87.0,54.48
kyle pitts,TE,31.2,17.599999999999994,19.040000000000006,4.08,110.0,75.6,2022,19.040000000000006,4.08,68.0,32.0,99.0,82.0,84.0,66.16
tee higgins,WR,32.5,50.89999999999998,27.180000000000007,5.23,110.0,218.9,2022,27.180000000000007,5.23,52.0,33.0,37.0,65.0,84.0,49.309999999999995
cam akers,RB,33.1,-146.29999999999998,4.3,4.3,8.0,145.3,2022,4.3,4.3,121.0,34.0,123.0,79.0,123.0,92.62
justin herbert,QB,33.2,128.73999999999995,38.216,15.632,446.76,335.26,2022,38.216,15.632,14.0,35.0,5.0,3.0,3.0,16.26
dj moore,WR,35.9,69.29999999999998,21.06,7.120000000000001,171.0,199.10000000000002,2022,21.06,7.120000000000001,38.0,36.0,77.0,37.0,52.0,46.45
terry mclaurin,WR,38.0,45.29999999999998,26.200000000000003,5.98,131.0,229.0,2022,26.200000000000003,5.98,57.0,37.0,45.0,55.0,71.0,50.8
patrick mahomes,QB,38.3,121.63999999999999,40.25600000000001,11.360000000000001,439.66,493.4,2022,40.25600000000001,11.360000000000001,15.0,38.0,2.0,17.0,4.0,18.050000000000004
david montgomery,RB,39.3,46.400000000000006,23.400000000000002,8.14,276.0,181.70000000000002,2022,23.400000000000002,8.14,56.0,39.0,58.0,32.0,23.0,44.63
mike williams,WR,39.6,76.4,29.05,4.300000000000001,129.0,176.5,2022,29.05,4.300000000000001,35.0,40.0,28.0,78.0,75.0,44.25
elijah mitchell,RB,42.4,14.400000000000006,21.0,8.2,227.0,43.6,2022,21.0,8.2,71.0,41.0,78.0,31.0,36.0,55.21
diontae johnson,WR,43.4,108.20000000000002,23.650000000000002,11.9,174.0,176.7,2022,23.650000000000002,11.9,17.0,42.0,56.0,14.0,49.0,36.11
george kittle,TE,44.2,41.0,30.500000000000014,4.22,97.0,202.5,2022,30.500000000000014,4.22,59.0,43.0,24.0,80.0,95.0,54.77
courtland sutton,WR,45.3,-19.960000000000008,24.0,2.2,98.0,159.4,2022,24.0,2.2,86.0,44.0,55.0,107.0,94.0,70.49
joe burrow,QB,46.1,66.21999999999997,37.74,13.65,384.24,420.7,2022,37.74,13.65,41.0,45.0,7.0,8.0,9.0,28.97
josh jacobs,RB,46.8,79.4,21.12,10.86,281.0,330.3,2022,21.12,10.86,33.0,46.0,76.0,19.0,22.0,42.00999999999999
jaylen waddle,WR,47.7,79.6,26.950000000000003,6.6000000000000005,142.0,261.2,2022,26.950000000000003,6.6000000000000005,32.0,47.0,38.0,43.0,64.0,43.15
aj dillon,RB,48.7,37.00000000000003,20.92,3.6,224.0,167.60000000000002,2022,20.92,3.6,61.0,48.0,81.0,90.0,37.0,59.129999999999995
darren waller,TE,50.4,-25.5,18.6,5.300000000000001,93.0,84.8,2022,18.6,5.300000000000001,92.0,49.0,101.0,63.0,99.0,79.74
lamar jackson,QB,51.3,-44.04000000000002,36.402,11.638000000000002,273.98,272.08,2022,36.402,11.638000000000002,106.0,50.0,9.0,15.0,24.0,53.06999999999999
dk metcalf,WR,51.4,76.1,24.340000000000003,6.5,130.0,230.8,2022,24.340000000000003,6.5,36.0,51.0,51.0,45.0,74.0,49.53
allen robinson,WR,53.5,-83.20000000000002,10.31,3.66,66.0,84.9,2022,10.31,3.66,113.0,52.0,122.0,89.0,112.0,94.49000000000001
clyde edwards helaire,RB,54.3,-30.999999999999986,19.22,4.48,142.0,98.3,2022,19.22,4.48,98.0,53.0,97.0,76.0,64.0,77.67999999999999
jalen hurts,QB,56.3,24.139999999999986,31.964,11.916,342.16,422.04,2022,31.964,11.916,66.0,54.0,19.0,13.0,13.0,42.28
chris godwin,WR,56.5,78.19999999999999,27.250000000000004,8.74,131.0,224.8,2022,27.250000000000004,8.74,34.0,55.0,36.0,26.0,71.0,45.65
brandin cooks,WR,56.7,63.599999999999994,21.75,5.45,136.0,145.6,2022,21.75,5.45,43.0,56.0,71.0,61.0,67.0,56.800000000000004
damien harris,RB,59.8,63.5,22.299999999999997,5.760000000000001,223.0,90.9,2022,22.299999999999997,5.760000000000001,44.0,57.0,64.0,59.0,38.0,51.65
kyler murray,QB,61.6,30.45999999999998,37.816,14.904000000000002,348.48,224.52,2022,37.816,14.904000000000002,64.0,58.0,6.0,4.0,12.0,39.75999999999999
jerry jeudy,WR,61.7,-83.20000000000002,12.93,4.05,58.0,204.20000000000002,2022,12.93,4.05,113.0,59.0,121.0,84.0,118.0,96.96
miles sanders,RB,61.7,-33.39999999999999,16.470000000000002,5.91,171.0,220.7,2022,16.470000000000002,5.91,100.0,59.0,108.0,57.0,52.0,78.92999999999999
dalton schultz,TE,62.6,47.80000000000001,21.3,2.8200000000000003,104.0,144.7,2022,21.3,2.8200000000000003,54.0,61.0,74.0,100.0,89.0,68.17
gabe davis,WR,62.9,-42.30000000000001,14.58,1.0400000000000005,63.0,173.6,2022,14.58,1.0400000000000005,104.0,62.0,115.0,120.0,114.0,96.0
