slot,round,player,position,count,pct,n_sims
1,1,Jahmyr Gibbs,RB,100,100.0,100
1,2,Chase Brown,RB,61,61.0,100
1,2,Josh Allen,QB,13,13.0,100
1,2,Brock Bowers,TE,8,8.0,100
1,2,A.J. Brown,WR,6,6.0,100
1,2,Rashee Rice,WR,5,5.0,100
1,2,Omarion Hampton,RB,3,3.0,100
1,2,Drake London,WR,2,2.0,100
1,2,Derrick Henry,RB,2,2.0,100
1,3,A.J. Brown,WR,25,25.0,100
1,3,Brock Bowers,TE,22,22.0,100
1,3,Josh Jacobs,RB,19,19.0,100
1,3,Nico Collins,WR,13,13.0,100
1,3,Josh Allen,QB,9,9.0,100
1,3,Kenneth Walker,RB,5,5.0,100
1,3,Chase Brown,RB,3,3.0,100
1,3,Rashee Rice,WR,2,2.0,100
1,3,Omarion Hampton,RB,1,1.0,100
1,3,Drake London,WR,1,1.0,100
1,4,Ladd McConkey,WR,55,55.0,100
1,4,Terry McLaurin,WR,21,21.0,100
1,4,Malik Nabers,WR,8,8.0,100
1,4,Tyler Warren,TE,6,6.0,100
1,4,Colston Loveland,TE,4,4.0,100
1,4,Bucky Irving,RB,3,3.0,100
1,4,Zay Flowers,WR,1,1.0,100
1,4,Parker Washington,WR,1,1.0,100
1,4,Travis Etienne,RB,1,1.0,100
1,5,Bucky Irving,RB,35,35.0,100
1,5,Terry McLaurin,WR,29,29.0,100
1,5,Ladd McConkey,WR,12,12.0,100
1,5,Parker Washington,WR,11,11.0,100
1,5,Travis Etienne,RB,5,5.0,100
1,5,Quinshon Judkins,RB,3,3.0,100
1,5,Cam Skattebo,RB,2,2.0,100
1,5,Malik Nabers,WR,1,1.0,100
1,5,D'Andre Swift,RB,1,1.0,100
1,5,Jaylen Waddle,WR,1,1.0,100
1,6,Travis Kelce,TE,44,44.0,100
1,6,Parker Washington,WR,39,39.0,100
1,6,Tony Pollard,RB,9,9.0,100
1,6,Bhayshul Tuten,RB,6,6.0,100
1,6,David Montgomery,RB,1,1.0,100
1,6,Alec Pierce,WR,1,1.0,100
1,7,Parker Washington,WR,37,37.0,100
1,7,Tony Pollard,RB,20,20.0,100
1,7,Travis Kelce,TE,16,16.0,100
1,7,Alec Pierce,WR,12,12.0,100
1,7,Bhayshul Tuten,RB,5,5.0,100
1,7,Luther Burden,WR,5,5.0,100
1,7,Mike Evans,WR,3,3.0,100
1,7,Matthew Stafford,QB,1,1.0,100
1,7,David Montgomery,RB,1,1.0,100
1,8,Rico Dowdle,RB,28,28.0,100
1,8,Chuba Hubbard,RB,18,18.0,100
1,8,Brock Purdy,QB,12,12.0,100
1,8,Jaylen Warren,RB,11,11.0,100
1,8,Aaron Jones,RB,9,9.0,100
1,8,Patrick Mahomes,QB,7,7.0,100
1,8,Bo Nix,QB,6,6.0,100
1,8,Josh Downs,WR,6,6.0,100
1,8,Alec Pierce,WR,2,2.0,100
1,8,Jared Goff,QB,1,1.0,100
1,9,Aaron Jones,RB,37,37.0,100
1,9,Chuba Hubbard,RB,15,15.0,100
1,9,Rico Dowdle,RB,14,14.0,100
1,9,Josh Downs,WR,13,13.0,100
1,9,Jared Goff,QB,8,8.0,100
1,9,Kenny Gainwell,RB,5,5.0,100
1,9,Patrick Mahomes,QB,3,3.0,100
1,9,J.K. Dobbins,RB,2,2.0,100
1,9,Jaylen Warren,RB,2,2.0,100
1,9,Christian Watson,WR,1,1.0,100
1,10,Josh Downs,WR,32,32.0,100
1,10,Jared Goff,QB,28,28.0,100
1,10,Rashid Shaheed,WR,22,22.0,100
1,10,Kenny Gainwell,RB,6,6.0,100
1,10,J.K. Dobbins,RB,5,5.0,100
1,10,Jordan Love,QB,5,5.0,100
1,10,Aaron Jones,RB,1,1.0,100
1,10,RJ Harvey,RB,1,1.0,100
1,11,Khalil Shakir,WR,51,51.0,100
1,11,Quentin Johnston,WR,30,30.0,100
1,11,Jordan Love,QB,6,6.0,100
1,11,Josh Downs,WR,4,4.0,100
1,11,Xavier Worthy,WR,3,3.0,100
1,11,Jacory Croskey-Merritt,RB,2,2.0,100
1,11,Tre Tucker,WR,1,1.0,100
1,11,Blake Corum,RB,1,1.0,100
1,11,Jordan Addison,WR,1,1.0,100
1,11,RJ Harvey,RB,1,1.0,100
1,12,Quentin Johnston,WR,41,41.0,100
1,12,Jacory Croskey-Merritt,RB,17,17.0,100
1,12,Tre Tucker,WR,15,15.0,100
1,12,Xavier Worthy,WR,12,12.0,100
1,12,Blake Corum,RB,9,9.0,100
1,12,Josh Downs,WR,2,2.0,100
1,12,Zach Charbonnet,RB,1,1.0,100
1,12,Jordan Mason,RB,1,1.0,100
1,12,Khalil Shakir,WR,1,1.0,100
1,12,RJ Harvey,RB,1,1.0,100
1,13,Jordan Mason,RB,26,26.0,100
1,13,Tre Tucker,WR,24,24.0,100
1,13,Zach Charbonnet,RB,14,14.0,100
1,13,Jacory Croskey-Merritt,RB,13,13.0,100
1,13,Xavier Worthy,WR,13,13.0,100
1,13,Josh Downs,WR,3,3.0,100
1,13,Jerry Jeudy,WR,3,3.0,100
1,13,Blake Corum,RB,3,3.0,100
1,13,Alvin Kamara,RB,1,1.0,100
1,14,Tre Tucker,WR,49,49.0,100
1,14,Zach Charbonnet,RB,20,20.0,100
1,14,Jordan Mason,RB,11,11.0,100
1,14,Jerry Jeudy,WR,8,8.0,100
1,14,Alvin Kamara,RB,6,6.0,100
1,14,Xavier Worthy,WR,3,3.0,100
1,14,Isiah Pacheco,RB,1,1.0,100
1,14,Chris Rodriguez,RB,1,1.0,100
1,14,Blake Corum,RB,1,1.0,100
1,15,Zach Charbonnet,RB,32,32.0,100
1,15,Jerry Jeudy,WR,21,21.0,100
1,15,Alvin Kamara,RB,18,18.0,100
1,15,Isiah Pacheco,RB,12,12.0,100
1,15,Jordan Mason,RB,8,8.0,100
1,15,Brenton Strange,TE,4,4.0,100
1,15,Chris Rodriguez,RB,2,2.0,100
1,15,Terrance Ferguson,TE,1,1.0,100
1,15,Tre Tucker,WR,1,1.0,100
1,15,Eddy Pineiro,K,1,1.0,100
1,16,Harrison Butker,K,27,27.0,100
1,16,Eddy Pineiro,K,27,27.0,100
1,16,Jake Bates,K,20,20.0,100
1,16,Tyler Loop,K,17,17.0,100
1,16,Cairo Santos,K,5,5.0,100
1,16,Chase McLaughlin,K,2,2.0,100
1,16,Ka'imi Fairbairn,K,1,1.0,100
1,16,Kyler Murray,QB,1,1.0,100
2,1,Bijan Robinson,RB,61,61.0,100
2,1,Jahmyr Gibbs,RB,39,39.0,100
2,2,Chase Brown,RB,44,44.0,100
2,2,Josh Allen,QB,39,39.0,100
2,2,Rashee Rice,WR,5,5.0,100
2,2,Brock Bowers,TE,3,3.0,100
2,2,Derrick Henry,RB,3,3.0,100
2,2,Omarion Hampton,RB,3,3.0,100
2,2,Drake London,WR,3,3.0,100
2,3,A.J. Brown,WR,25,25.0,100
2,3,Chase Brown,RB,24,24.0,100
2,3,Nico Collins,WR,19,19.0,100
2,3,Josh Jacobs,RB,15,15.0,100
2,3,Kenneth Walker,RB,8,8.0,100
2,3,Chris Olave,WR,5,5.0,100
2,3,Brock Bowers,TE,3,3.0,100
2,3,Rashee Rice,WR,1,1.0,100
2,4,Ladd McConkey,WR,49,49.0,100
2,4,Terry McLaurin,WR,16,16.0,100
2,4,Malik Nabers,WR,15,15.0,100
2,4,Tyler Warren,TE,8,8.0,100
2,4,Colston Loveland,TE,7,7.0,100
2,4,Zay Flowers,WR,2,2.0,100
2,4,Parker Washington,WR,2,2.0,100
2,4,Cam Skattebo,RB,1,1.0,100
2,5,Terry McLaurin,WR,33,33.0,100
2,5,Bucky Irving,RB,26,26.0,100
2,5,Ladd McConkey,WR,11,11.0,100
2,5,Travis Etienne,RB,9,9.0,100
2,5,D'Andre Swift,RB,8,8.0,100
2,5,Quinshon Judkins,RB,7,7.0,100
2,5,Parker Washington,WR,5,5.0,100
2,5,Jaylen Waddle,WR,1,1.0,100
2,6,Travis Kelce,TE,50,50.0,100
2,6,Parker Washington,WR,28,28.0,100
2,6,Bhayshul Tuten,RB,10,10.0,100
2,6,David Montgomery,RB,5,5.0,100
2,6,Tony Pollard,RB,2,2.0,100
2,6,Luther Burden,WR,2,2.0,100
2,6,Harold Fannin,TE,1,1.0,100
2,6,Sam LaPorta,TE,1,1.0,100
2,6,D'Andre Swift,RB,1,1.0,100
2,7,Parker Washington,WR,49,49.0,100
2,7,Travis Kelce,TE,26,26.0,100
2,7,Tony Pollard,RB,8,8.0,100
2,7,Alec Pierce,WR,6,6.0,100
2,7,David Montgomery,RB,3,3.0,100
2,7,Bhayshul Tuten,RB,3,3.0,100
2,7,Luther Burden,WR,2,2.0,100
2,7,Matthew Stafford,QB,1,1.0,100
2,7,Mike Evans,WR,1,1.0,100
2,7,George Kittle,TE,1,1.0,100
2,8,Rico Dowdle,RB,28,28.0,100
