slot,round,QB_pct,RB_pct,WR_pct,TE_pct,K_pct,n_sims
1,1,0.0,100.0,0.0,0.0,0.0,100
1,2,13.0,66.0,13.0,8.0,0.0,100
1,3,9.0,28.0,41.0,22.0,0.0,100
1,4,0.0,4.0,86.0,10.0,0.0,100
1,5,0.0,46.0,54.0,0.0,0.0,100
1,6,0.0,16.0,40.0,44.0,0.0,100
1,7,1.0,26.0,57.0,16.0,0.0,100
1,8,26.0,66.0,8.0,0.0,0.0,100
1,9,11.0,75.0,14.0,0.0,0.0,100
1,10,33.0,13.0,54.0,0.0,0.0,100
1,11,6.0,4.0,90.0,0.0,0.0,100
1,12,0.0,29.0,71.0,0.0,0.0,100
1,13,0.0,57.0,43.0,0.0,0.0,100
1,14,0.0,40.0,60.0,0.0,0.0,100
1,15,0.0,72.0,22.0,5.0,1.0,100
1,16,1.0,0.0,0.0,0.0,99.0,100
2,1,0.0,100.0,0.0,0.0,0.0,100
2,2,39.0,50.0,8.0,3.0,0.0,100
2,3,0.0,47.0,50.0,3.0,0.0,100
2,4,0.0,1.0,84.0,15.0,0.0,100
2,5,0.0,50.0,50.0,0.0,0.0,100
2,6,0.0,18.0,30.0,52.0,0.0,100
2,7,1.0,14.0,58.0,27.0,0.0,100
2,8,24.0,69.0,7.0,0.0,0.0,100
2,9,12.0,69.0,19.0,0.0,0.0,100
2,10,19.0,21.0,60.0,0.0,0.0,100
2,11,5.0,5.0,90.0,0.0,0.0,100
2,12,0.0,36.0,64.0,0.0,0.0,100
2,13,0.0,52.0,48.0,0.0,0.0,100
2,14,0.0,46.0,54.0,0.0,0.0,100
2,15,0.0,74.0,24.0,2.0,0.0,100
2,16,0.0,0.0,0.0,0.0,100.0,100
3,1,0.0,61.0,39.0,0.0,0.0,100
3,2,47.0,39.0,11.0,3.0,0.0,100
3,3,0.0,61.0,30.0,9.0,0.0,100
3,4,0.0,21.0,67.0,12.0,0.0,100
3,5,0.0,52.0,48.0,0.0,0.0,100
3,6,14.0,19.0,26.0,41.0,0.0,100
3,7,0.0,17.0,48.0,35.0,0.0,100
3,8,18.0,66.0,16.0,0.0,0.0,100
3,9,3.0,75.0,22.0,0.0,0.0,100
3,10,15.0,22.0,63.0,0.0,0.0,100
3,11,3.0,7.0,90.0,0.0,0.0,100
3,12,0.0,35.0,65.0,0.0,0.0,100
3,13,0.0,56.0,44.0,0.0,0.0,100
3,14,0.0,49.0,51.0,0.0,0.0,100
3,15,0.0,63.0,32.0,5.0,0.0,100
3,16,0.0,0.0,0.0,0.0,100.0,100
4,1,0.0,28.0,72.0,0.0,0.0,100
4,2,51.0,34.0,14.0,1.0,0.0,100
4,3,0.0,68.0,29.0,3.0,0.0,100
4,4,0.0,41.0,51.0,8.0,0.0,100
4,5,0.0,65.0,35.0,0.0,0.0,100
4,6,6.0,20.0,17.0,57.0,0.0,100
4,7,0.0,13.0,56.0,31.0,0.0,100
4,8,29.0,62.0,9.0,0.0,0.0,100
4,9,1.0,71.0,28.0,0.0,0.0,100
4,10,11.0,34.0,55.0,0.0,0.0,100
4,11,2.0,9.0,89.0,0.0,0.0,100
