season,name,position,team,adp,nn
2020,Ezekiel Elliott,RB,,1.3,ezekiel elliott
2020,Alvin Kamara,RB,NO,2.0,alvin kamara
2020,Derrick Henry,RB,BAL,3.0,derrick henry
2020,Dalvin Cook,RB,,4.0,dalvin cook
2020,Saquon Barkley,RB,PHI,5.0,saquon barkley
2020,Tyreek Hill,WR,,6.0,tyreek hill
2020,DeAndre Hopkins,WR,,7.0,deandre hopkins
2020,Josh Jacobs,RB,GB,8.0,josh jacobs
2020,Patrick Mahomes,QB,KC,9.0,patrick mahomes
2020,Nick Chubb,RB,,10.0,nick chubb
2020,Travis Kelce,TE,KC,11.0,travis kelce
2020,Davante Adams,WR,LAR,12.0,davante adams
2020,Mike Evans,WR,SF,13.0,mike evans
2020,Lamar Jackson,QB,BAL,14.0,lamar jackson
2020,Aaron Jones,RB,MIN,15.0,aaron jones
2020,Austin Ekeler,RB,,16.0,austin ekeler
2020,Russell Wilson,QB,,17.0,russell wilson
2020,Amari Cooper,WR,,18.0,amari cooper
2020,JuJu Smith-Schuster,WR,NYG,19.0,juju smith schuster
2020,Adam Thielen,WR,,20.0,adam thielen
2020,Joe Mixon,RB,,21.0,joe mixon
2020,Allen Robinson,WR,,22.0,allen robinson
2020,Todd Gurley,RB,,23.0,todd gurley
2020,Odell Beckham,WR,NYG,24.0,odell beckham
2020,James Conner,RB,ARI,25.0,james conner
2020,DJ Moore,WR,BUF,26.0,dj moore
2020,Mark Andrews,TE,BAL,27.0,mark andrews
2020,Zach Ertz,TE,,28.0,zach ertz
2020,Le'Veon Bell,RB,TB,29.0,le veon bell
2020,George Kittle,TE,SF,30.0,george kittle
2020,David Johnson,RB,,31.0,david johnson
2020,Tyler Lockett,WR,,32.0,tyler lockett
2020,Kenyan Drake,RB,,33.0,kenyan drake
2020,Michael Thomas,WR,,34.0,michael thomas
2020,Miles Sanders,RB,,35.0,miles sanders
2020,DK Metcalf,WR,PIT,36.0,dk metcalf
2020,Calvin Ridley,WR,TEN,37.0,calvin ridley
2020,Chris Carson,RB,,38.0,chris carson
2020,Kyler Murray,QB,MIN,39.0,kyler murray
2020,Robert Woods,WR,,40.0,robert woods
2020,Deshaun Watson,QB,CLE,41.0,deshaun watson
2020,Chris Godwin,WR,TB,42.0,chris godwin
2020,Melvin Gordon,RB,,43.0,melvin gordon
2020,Darren Waller,TE,,44.0,darren waller
2020,Stefon Diggs,WR,,45.0,stefon diggs
2020,Jonathan Taylor,RB,IND,46.0,jonathan taylor
2020,Dak Prescott,QB,DAL,47.0,dak prescott
2020,Evan Engram,TE,DEN,48.0,evan engram
2020,Leonard Fournette,RB,,49.0,leonard fournette
2020,Kareem Hunt,RB,,50.0,kareem hunt
2020,A.J. Brown,WR,NE,51.0,a j brown
2020,T.Y. Hilton,WR,,52.0,t y hilton
2020,Rob Gronkowski,TE,,53.0,rob gronkowski
2020,Devin Singletary,RB,NYG,54.0,devin singletary
2020,Drew Brees,QB,,55.0,drew brees
2020,David Montgomery,RB,HOU,56.0,david montgomery
2020,Aaron Rodgers,QB,PIT,57.0,aaron rodgers
