season,name,position,team,adp,adp_stdev,nn,adp_pos_rank
2014,LeSean McCoy,RB,PHI,2.0,1.0,lesean mccoy,1.0
2014,Jamaal Charles,RB,KC,2.5,1.5,jamaal charles,2.0
2014,Calvin Johnson,WR,DET,4.1,1.6,calvin johnson,1.0
2014,Matt Forte,RB,CHI,4.2,1.5,matt forte,3.0
2014,Adrian Peterson,RB,MIN,5.3,2.2,adrian peterson,4.0
2014,Eddie Lacy,RB,GB,6.2,1.6,eddie lacy,5.0
2014,Demaryius Thomas,WR,DEN,6.7,1.6,demaryius thomas,2.0
2014,Jimmy Graham,TE,NO,7.8,2.2,jimmy graham,1.0
2014,Dez Bryant,WR,DAL,9.1,1.9,dez bryant,3.0
2014,Montee Ball,RB,DEN,10.4,2.3,montee ball,6.0
2014,Peyton Manning,QB,DEN,10.4,4.1,peyton manning,1.0
2014,A.J. Green,WR,CIN,11.5,2.1,a j green,4.0
2014,Julio Jones,WR,ATL,13.3,2.2,julio jones,5.0
2014,Brandon Marshall,WR,CHI,13.9,2.1,brandon marshall,6.0
2014,DeMarco Murray,RB,DAL,14.2,2.7,demarco murray,7.0
2014,Marshawn Lynch,RB,SEA,15.9,3.2,marshawn lynch,8.0
2014,Giovani Bernard,RB,CIN,16.7,3.1,giovani bernard,9.0
2014,Jordy Nelson,WR,GB,17.8,2.6,jordy nelson,7.0
2014,Antonio Brown,WR,PIT,18.4,2.5,antonio brown,8.0
2014,Drew Brees,QB,NO,19.1,4.0,drew brees,2.0
2014,Doug Martin,RB,TB,20.9,3.5,doug martin,10.0
2014,Alshon Jeffery,WR,CHI,21.9,2.5,alshon jeffery,9.0
2014,Aaron Rodgers,QB,GB,22.2,4.2,aaron rodgers,3.0
2014,Andre Ellington,RB,ARI,22.5,3.8,andre ellington,11.0
2014,Randall Cobb,WR,GB,25.0,3.0,randall cobb,10.0
2014,Arian Foster,RB,HOU,25.8,4.7,arian foster,12.0
2014,Julius Thomas,TE,DEN,26.2,4.8,julius thomas,2.0
2014,Keenan Allen,WR,LAC,28.0,3.7,keenan allen,11.0
2014,Shane Vereen,RB,NE,28.5,4.2,shane vereen,13.0
2014,Rob Gronkowski,TE,NE,29.7,4.6,rob gronkowski,3.0
2014,LeVeon Bell,RB,PIT,30.4,3.5,leveon bell,14.0
2014,Zac Stacy,RB,LAR,32.5,3.6,zac stacy,15.0
2014,Roddy White,WR,ATL,33.1,4.7,roddy white,12.0
2014,Reggie Bush,RB,DET,33.3,3.6,reggie bush,16.0
2014,Alfred Morris,RB,WAS,34.2,4.5,alfred morris,17.0
2014,Vincent Jackson,WR,TB,34.7,4.7,vincent jackson,13.0
2014,Cordarrelle Patterson,WR,MIN,36.2,5.1,cordarrelle patterson,14.0
2014,Andre Johnson,WR,HOU,36.4,4.5,andre johnson,15.0
2014,Rashad Jennings,RB,NYG,38.4,3.7,rashad jennings,18.0
2014,Pierre Garcon,WR,WAS,40.4,4.4,pierre garcon,16.0
2014,Emmanuel Sanders,WR,DEN,40.5,4.9,emmanuel sanders,17.0
2014,Larry Fitzgerald,WR,ARI,42.0,4.4,larry fitzgerald,18.0
2014,C.J. Spiller,RB,,42.1,5.4,c j spiller,19.0
2014,Toby Gerhart,RB,JAX,42.8,5.5,toby gerhart,20.0
2014,Victor Cruz,WR,NYG,43.8,4.2,victor cruz,19.0
2014,Percy Harvin,WR,SEA,44.2,5.2,percy harvin,20.0
2014,Joique Bell,RB,DET,45.9,6.2,joique bell,21.0
2014,Michael Floyd,WR,ARI,46.3,5.6,michael floyd,21.0
2014,Julian Edelman,WR,NE,48.3,5.2,julian edelman,22.0
2014,Matthew Stafford,QB,DET,48.4,8.2,matthew stafford,4.0
2014,Michael Crabtree,WR,SF,49.8,5.3,michael crabtree,23.0
2014,Ryan Mathews,RB,LAC,50.8,6.7,ryan mathews,22.0
2014,Jordan Cameron,TE,CLE,51.0,6.9,jordan cameron,4.0
2014,Ray Rice,RB,BAL,52.6,7.0,ray rice,23.0
2014,Pierre Thomas,RB,NO,55.0,5.6,pierre thomas,24.0
2014,T.Y. Hilton,WR,IND,55.2,6.2,t y hilton,24.0
2014,Andrew Luck,QB,IND,55.2,8.5,andrew luck,5.0
2014,Frank Gore,RB,SF,56.3,6.1,frank gore,25.0
2014,Torrey Smith,WR,BAL,56.4,5.2,torrey smith,25.0
2014,Ben Tate,RB,CLE,58.3,6.2,ben tate,26.0
2014,Chris Johnson,RB,NYJ,60.0,6.2,chris johnson,27.0
2014,Tom Brady,QB,NE,61.4,8.6,tom brady,6.0
2014,DeSean Jackson,WR,WAS,61.7,7.2,desean jackson,26.0
2014,Kendall Wright,WR,TEN,61.8,6.5,kendall wright,27.0
2014,Vernon Davis,TE,SF,62.8,8.1,vernon davis,5.0
2014,Jeremy Maclin,WR,PHI,64.3,7.2,jeremy maclin,28.0
2014,Marques Colston,WR,NO,65.4,6.7,marques colston,29.0
2014,Bishop Sankey,RB,TEN,66.1,7.2,bishop sankey,28.0
2014,Jason Witten,TE,DAL,66.6,7.1,jason witten,6.0
2014,Matt Ryan,QB,ATL,67.6,7.7,matt ryan,7.0
2014,Wes Welker,WR,DEN,69.1,10.0,wes welker,30.0
2014,Danny Woodhead,RB,LAC,70.0,8.3,danny woodhead,29.0
2014,Brandin Cooks,WR,NO,72.8,8.6,brandin cooks,31.0
2014,Maurice Jones-Drew,RB,LV,73.0,7.9,maurice jones drew,30.0
2014,Trent Richardson,RB,IND,73.2,9.0,trent richardson,31.0
2014,Kyle Rudolph,TE,MIN,73.2,9.0,kyle rudolph,7.0
2014,Golden Tate,WR,DET,73.4,8.6,golden tate,32.0
2014,Nick Foles,QB,PHI,73.9,9.7,nick foles,8.0
2014,Mike Wallace,WR,MIA,76.1,8.3,mike wallace,33.0
2014,Darren Sproles,RB,PHI,77.6,9.1,darren sproles,32.0
2014,Reggie Wayne,WR,IND,79.9,9.0,reggie wayne,34.0
2014,Fred Jackson,RB,,80.9,8.0,fred jackson,33.0
2014,Jordan Reed,TE,WAS,81.4,10.0,jordan reed,8.0
2014,Jay Cutler,QB,CHI,81.8,8.9,jay cutler,9.0
2014,Eric Decker,WR,NYJ,83.3,8.2,eric decker,35.0
2014,Kelvin Benjamin,WR,CAR,83.7,8.5,kelvin benjamin,36.0
2014,Tony Romo,QB,DAL,85.5,7.7,tony romo,10.0
2014,Knowshon Moreno,RB,MIA,85.7,10.6,knowshon moreno,34.0
2014,Terrance Williams,WR,DAL,86.4,8.4,terrance williams,37.0
2014,Steven Jackson,RB,ATL,86.9,8.1,steven jackson,35.0
2014,Lamar Miller,RB,MIA,87.7,8.0,lamar miller,36.0
2014,Greg Olsen,TE,CAR,88.2,10.8,greg olsen,9.0
2014,Dennis Pitta,TE,BAL,91.4,10.3,dennis pitta,10.0
2014,Carlos Hyde,RB,SEA,91.5,7.5,carlos hyde,37.0
2014,Bernard Pierce,RB,BAL,94.5,8.5,bernard pierce,38.0
2014,Cam Newton,QB,CAR,94.5,10.2,cam newton,11.0
2014,Justin Hunter,WR,TEN,95.0,8.4,justin hunter,38.0
2014,Jeremy Hill,RB,LV,96.2,8.1,jeremy hill,39.0
2014,Zach Ertz,TE,PHI,97.5,13.1,zach ertz,11.0
2014,Mike Evans,WR,TB,99.4,9.8,mike evans,39.0
2014,Mark Ingram II,RB,NO,99.5,8.0,mark ingram,40.0
2014,Rueben Randle,WR,NYG,100.9,8.1,rueben randle,40.0
2014,Riley Cooper,WR,PHI,100.9,8.8,riley cooper,41.0
2014,Stevan Ridley,RB,NE,101.6,11.3,stevan ridley,41.0
2014,Philip Rivers,QB,LAC,102.3,9.2,philip rivers,12.0
2014,Devonta Freeman,RB,ATL,102.9,8.5,devonta freeman,42.0
2014,Colin Kaepernick,QB,SF,103.6,11.3,colin kaepernick,13.0
2014,Sammy Watkins,WR,,104.9,10.4,sammy watkins,42.0
2014,Russell Wilson,QB,SEA,106.1,10.3,russell wilson,14.0
2014,Dwayne Bowe,WR,KC,108.2,8.4,dwayne bowe,43.0
2014,DeAndre Hopkins,WR,HOU,109.0,7.6,deandre hopkins,44.0
2014,Robert Griffin III,QB,WAS,109.9,10.1,robert griffin,15.0
2014,Terrance West,RB,CLE,110.0,7.7,terrance west,43.0
2014,Danny Amendola,WR,NE,113.0,9.7,danny amendola,45.0
2014,Andre Williams,RB,NYG,113.4,8.4,andre williams,44.0
2014,Hakeem Nicks,WR,IND,115.0,9.8,hakeem nicks,46.0
2014,Anquan Boldin,WR,SF,115.3,10.6,anquan boldin,47.0
2014,DeAngelo Williams,RB,CAR,116.4,10.1,deangelo williams,45.0
2014,Martellus Bennett,TE,CHI,117.4,14.3,martellus bennett,12.0
2014,Darren McFadden,RB,LV,118.8,12.1,darren mcfadden,46.0
2014,Markus Wheaton,WR,PIT,119.0,9.8,markus wheaton,48.0
2014,Steve Smith,WR,BAL,121.0,13.7,steve smith,49.0
2014,Jordan Matthews,WR,PHI,121.4,8.8,jordan matthews,50.0
2014,Andy Dalton,QB,CIN,122.6,13.5,andy dalton,16.0
2014,Cecil Shorts,WR,JAX,124.2,9.6,cecil shorts,51.0
2014,Ahmad Bradshaw,RB,IND,124.8,10.5,ahmad bradshaw,47.0
2014,Jarrett Boykin,WR,GB,127.0,8.8,jarrett boykin,52.0
2014,Ben Roethlisberger,QB,PIT,128.4,9.0,ben roethlisberger,17.0
2014,Khiry Robinson,RB,NO,129.4,11.6,khiry robinson,48.0
2014,Charles Clay,TE,MIA,130.1,17.9,charles clay,13.0
2014,Kenny Britt,WR,LAR,132.7,11.0,kenny britt,53.0
2014,Lance Dunbar,RB,DAL,133.1,11.6,lance dunbar,49.0
2014,Greg Jennings,WR,MIN,133.2,11.5,greg jennings,54.0
2014,Carson Palmer,QB,ARI,133.7,8.2,carson palmer,18.0
2014,Brian Hartline,WR,MIA,136.4,10.6,brian hartline,55.0
2014,Ladarius Green,TE,LAC,137.1,17.3,ladarius green,14.0
2014,Kenny Stills,WR,NO,137.5,15.1,kenny stills,56.0
2014,Andrew Hawkins,WR,CLE,137.8,10.2,andrew hawkins,57.0
2014,LeGarrette Blount,RB,PIT,138.1,14.6,legarrette blount,50.0
2014,Heath Miller,TE,PIT,138.1,17.6,heath miller,15.0
2014,Shonn Greene,RB,TEN,139.1,16.0,shonn greene,51.0
2014,Chris Ivory,RB,NYJ,142.4,20.4,chris ivory,52.0
2014,Jonathan Stewart,RB,CAR,143.3,16.6,jonathan stewart,53.0
2014,Marqise Lee,WR,JAX,143.6,13.9,marqise lee,58.0
2014,Tavon Austin,WR,LAR,145.5,16.8,tavon austin,59.0
2014,Travis Kelce,TE,KC,146.2,21.9,travis kelce,16.0
2014,Ryan Tannehill,QB,MIA,147.6,10.3,ryan tannehill,19.0
2014,Dexter McCluster,RB,TEN,148.8,19.4,dexter mccluster,54.0
2014,Christine Michael,RB,SEA,151.3,15.1,christine michael,55.0
2014,Knile Davis,RB,KC,151.4,14.5,knile davis,56.0
2014,Aaron Dobson,WR,NE,151.7,21.6,aaron dobson,60.0
2014,Cody Latimer,WR,DEN,151.8,13.4,cody latimer,61.0
2014,Josh McCown,QB,TB,153.4,13.3,josh mccown,20.0
2014,Antonio Gates,TE,LAC,154.1,19.7,antonio gates,17.0
2014,Tim Wright,TE,NE,154.7,17.4,tim wright,18.0
2014,Benny Cunningham,RB,LAR,154.9,14.4,benny cunningham,57.0
2014,James White,RB,NE,154.9,15.5,james white,58.0
2014,Eric Ebron,TE,DET,156.0,15.2,eric ebron,19.0
2014,James Starks,RB,GB,157.2,20.5,james starks,59.0
2014,Ronnie Hillman,RB,DEN,157.5,15.3,ronnie hillman,60.0
2014,James Jones,WR,LV,158.4,12.8,james jones,62.0
2014,Kenbrell Thompkins,WR,NE,158.6,12.8,kenbrell thompkins,63.0
2014,Doug Baldwin,WR,SEA,160.5,16.4,doug baldwin,64.0
2014,Miles Austin,WR,CLE,161.5,14.0,miles austin,65.0
2014,Joe Flacco,QB,BAL,161.5,11.2,joe flacco,21.0
2015,Adrian Peterson,RB,MIN,1.8,1.0,adrian peterson,1.0
2015,Antonio Brown,WR,PIT,2.5,1.4,antonio brown,1.0
2015,LeVeon Bell,RB,PIT,3.1,1.7,leveon bell,2.0
2015,Eddie Lacy,RB,GB,4.0,1.6,eddie lacy,3.0
2015,Jamaal Charles,RB,KC,4.5,1.6,jamaal charles,4.0
2015,Julio Jones,WR,ATL,6.2,1.9,julio jones,2.0
2015,Dez Bryant,WR,DAL,7.6,1.7,dez bryant,3.0
2015,Marshawn Lynch,RB,SEA,8.6,2.3,marshawn lynch,5.0
2015,Demaryius Thomas,WR,DEN,9.1,1.9,demaryius thomas,4.0
2015,Rob Gronkowski,TE,NE,10.3,3.3,rob gronkowski,1.0
2015,CJ Anderson,RB,DEN,10.7,3.0,cj anderson,6.0
2015,Odell Beckham Jr.,WR,NYG,11.4,2.8,odell beckham,5.0
2015,Calvin Johnson,WR,DET,13.1,2.4,calvin johnson,6.0
2015,Matt Forte,RB,CHI,13.7,3.1,matt forte,7.0
2015,Jeremy Hill,RB,CIN,14.4,2.8,jeremy hill,8.0
2015,Randall Cobb,WR,GB,15.9,2.4,randall cobb,7.0
2015,A.J. Green,WR,CIN,16.7,2.5,a j green,8.0
2015,Andrew Luck,QB,IND,16.9,5.3,andrew luck,1.0
2015,DeMarco Murray,RB,PHI,17.6,3.4,demarco murray,9.0
2015,Justin Forsett,RB,BAL,19.3,3.2,justin forsett,10.0
2015,Brandin Cooks,WR,NO,20.6,2.9,brandin cooks,9.0
2015,Lamar Miller,RB,MIA,22.3,3.0,lamar miller,11.0
2015,T.Y. Hilton,WR,IND,22.8,2.7,t y hilton,10.0
2015,Jordan Matthews,WR,PHI,24.4,2.8,jordan matthews,11.0
2015,LeSean McCoy,RB,BUF,24.4,4.2,lesean mccoy,12.0
2015,Alshon Jeffery,WR,CHI,26.1,3.1,alshon jeffery,12.0
2015,Aaron Rodgers,QB,GB,27.1,5.4,aaron rodgers,2.0
2015,Frank Gore,RB,IND,27.7,3.4,frank gore,13.0
2015,DeAndre Hopkins,WR,HOU,28.7,3.3,deandre hopkins,13.0
2015,Mike Evans,WR,TB,30.0,3.4,mike evans,14.0
2015,Mark Ingram II,RB,NO,31.0,3.2,mark ingram,14.0
2015,Emmanuel Sanders,WR,DEN,31.9,3.7,emmanuel sanders,15.0
2015,Latavius Murray,RB,LV,33.2,4.1,latavius murray,15.0
2015,Jimmy Graham,TE,SEA,33.5,5.1,jimmy graham,2.0
2015,Davante Adams,WR,GB,34.6,4.3,davante adams,16.0
2015,Jarvis Landry,WR,MIA,36.6,4.4,jarvis landry,17.0
2015,Arian Foster,RB,HOU,37.5,4.8,arian foster,16.0
2015,Andre Johnson,WR,IND,37.7,4.2,andre johnson,18.0
2015,Doug Martin,RB,TB,38.0,4.8,doug martin,17.0
2015,Jeremy Maclin,WR,KC,38.8,4.8,jeremy maclin,19.0
2015,Amari Cooper,WR,LV,40.8,4.4,amari cooper,20.0
2015,Ameer Abdullah,RB,DET,41.5,6.0,ameer abdullah,18.0
2015,Julian Edelman,WR,NE,41.9,4.5,julian edelman,21.0
2015,Golden Tate,WR,DET,43.5,4.3,golden tate,22.0
2015,Andre Ellington,RB,ARI,43.7,5.7,andre ellington,19.0
2015,Carlos Hyde,RB,SF,44.7,5.6,carlos hyde,20.0
2015,Greg Olsen,TE,CAR,45.1,6.3,greg olsen,3.0
2015,Chris Ivory,RB,NYJ,47.6,6.3,chris ivory,21.0
2015,Alfred Morris,RB,WAS,48.2,6.9,alfred morris,22.0
2015,Keenan Allen,WR,LAC,48.7,5.4,keenan allen,23.0
2015,Brandon Marshall,WR,NYJ,50.5,5.6,brandon marshall,24.0
2015,Travis Kelce,TE,KC,50.6,5.5,travis kelce,4.0
2015,Melvin Gordon III,RB,LAC,51.8,7.1,melvin gordon,23.0
2015,Jonathan Stewart,RB,CAR,53.0,6.1,jonathan stewart,24.0
2015,Allen Robinson II,WR,JAX,53.5,6.0,allen robinson,25.0
2015,Peyton Manning,QB,DEN,54.9,9.9,peyton manning,3.0
2015,Joseph Randle,RB,DAL,56.6,5.9,joseph randle,25.0
2015,Nelson Agholor,WR,PHI,56.6,5.7,nelson agholor,26.0
2015,Drew Brees,QB,NO,56.8,8.7,drew brees,4.0
2015,C.J. Spiller,RB,NO,57.9,6.4,c j spiller,26.0
2015,Todd Gurley,RB,LAR,60.2,6.3,todd gurley,27.0
2015,Martellus Bennett,TE,CHI,60.3,6.2,martellus bennett,5.0
