season,name,position,team,adp,adp_stdev,nn,adp_pos_rank
2025,Ja'Marr Chase,WR,CIN,1.0,,ja marr chase,1.0
2025,Saquon Barkley,RB,PHI,2.2,,saquon barkley,1.0
2025,Bijan Robinson,RB,ATL,3.3,,bijan robinson,2.0
2025,Jahmyr Gibbs,RB,DET,4.7,,jahmyr gibbs,3.0
2025,Justin Jefferson,WR,MIN,5.5,,justin jefferson,2.0
2025,CeeDee Lamb,WR,DAL,6.5,,ceedee lamb,3.0
2025,Amon-Ra St. Brown,WR,DET,7.2,,amon ra st brown,4.0
2025,Derrick Henry,RB,BAL,7.8,,derrick henry,4.0
2025,Christian McCaffrey,RB,SF,9.2,,christian mccaffrey,5.0
2025,Puka Nacua,WR,LAR,10.7,,puka nacua,5.0
2025,Malik Nabers,WR,NYG,11.2,,malik nabers,6.0
2025,Ashton Jeanty,RB,LV,12.6,,ashton jeanty,6.0
2025,Nico Collins,WR,HOU,13.0,,nico collins,7.0
2025,De'Von Achane,RB,MIA,14.6,,de von achane,7.0
2025,Josh Jacobs,RB,GB,15.1,,josh jacobs,8.0
2025,Brian Thomas,WR,JAX,15.8,,brian thomas,8.0
2025,Drake London,WR,ATL,17.9,,drake london,9.0
2025,Josh Allen,QB,BUF,18.5,,josh allen,1.0
2025,A.J. Brown,WR,NE,19.6,,a j brown,10.0
2025,Brock Bowers,TE,LV,20.2,,brock bowers,1.0
2025,Lamar Jackson,QB,BAL,21.9,,lamar jackson,2.0
2025,Jonathan Taylor,RB,IND,22.4,,jonathan taylor,9.0
2025,Ladd McConkey,WR,LAC,23.1,,ladd mcconkey,11.0
2025,Bucky Irving,RB,TB,23.4,,bucky irving,10.0
2025,Kyren Williams,RB,LAR,25.2,,kyren williams,11.0
2025,Chase Brown,RB,CIN,26.0,,chase brown,12.0
2025,Tyreek Hill,WR,,27.4,,tyreek hill,12.0
2025,Trey McBride,TE,ARI,28.1,,trey mcbride,2.0
2025,James Cook,RB,BUF,29.4,,james cook,13.0
2025,Jaxon Smith-Njigba,WR,SEA,30.7,,jaxon smith njigba,13.0
2025,Jayden Daniels,QB,WAS,31.4,,jayden daniels,3.0
2025,Tee Higgins,WR,CIN,31.8,,tee higgins,14.0
2025,Jalen Hurts,QB,PHI,33.0,,jalen hurts,4.0
2025,Joe Burrow,QB,CIN,34.3,,joe burrow,5.0
2025,Alvin Kamara,RB,NO,35.5,,alvin kamara,14.0
2025,George Kittle,TE,SF,36.0,,george kittle,3.0
2025,Garrett Wilson,WR,NYJ,37.3,,garrett wilson,15.0
2025,Breece Hall,RB,NYJ,38.4,,breece hall,15.0
2025,Mike Evans,WR,SF,39.2,,mike evans,16.0
2025,Omarion Hampton,RB,LAC,40.0,,omarion hampton,16.0
2025,Marvin Harrison,WR,ARI,41.4,,marvin harrison,17.0
2025,Terry McLaurin,WR,WAS,42.6,,terry mclaurin,18.0
2025,Kenneth Walker,RB,KC,43.6,,kenneth walker,17.0
2025,Davante Adams,WR,LAR,44.0,,davante adams,19.0
2025,DK Metcalf,WR,PIT,45.4,,dk metcalf,20.0
2025,Chuba Hubbard,RB,CAR,46.0,,chuba hubbard,18.0
2025,James Conner,RB,ARI,47.5,,james conner,19.0
2025,Sam LaPorta,TE,DET,47.6,,sam laporta,4.0
2025,Patrick Mahomes,QB,KC,49.5,,patrick mahomes,6.0
2025,Courtland Sutton,WR,DEN,50.3,,courtland sutton,21.0
2025,DJ Moore,WR,BUF,51.6,,dj moore,22.0
2025,TreVeyon Henderson,RB,NE,52.1,,treveyon henderson,20.0
2025,David Montgomery,RB,HOU,53.6,,david montgomery,21.0
2025,DeVonta Smith,WR,PHI,54.3,,devonta smith,23.0
2025,Isiah Pacheco,RB,DET,55.8,,isiah pacheco,22.0
2025,Xavier Worthy,WR,KC,57.6,,xavier worthy,24.0
2025,Zay Flowers,WR,BAL,58.5,,zay flowers,25.0
2025,T.J. Hockenson,TE,MIN,59.2,,t j hockenson,5.0
2025,Travis Kelce,TE,KC,60.2,,travis kelce,6.0
2025,George Pickens,WR,DAL,61.6,,george pickens,26.0
2025,Tetairoa McMillan,WR,CAR,62.4,,tetairoa mcmillan,27.0
2025,Jameson Williams,WR,DET,63.2,,jameson williams,28.0
2025,RJ Harvey,RB,DEN,63.9,,rj harvey,23.0
2025,Baker Mayfield,QB,TB,65.2,,baker mayfield,7.0
2025,D'Andre Swift,RB,CHI,66.3,,d andre swift,24.0
2025,Rashee Rice,WR,KC,66.5,,rashee rice,29.0
2025,Aaron Jones,RB,MIN,67.6,,aaron jones,25.0
2025,Travis Hunter,WR,JAX,68.9,,travis hunter,30.0
2025,Jaylen Waddle,WR,DEN,69.6,,jaylen waddle,31.0
2025,Tony Pollard,RB,TEN,70.7,,tony pollard,26.0
2025,Calvin Ridley,WR,TEN,71.3,,calvin ridley,32.0
2025,Bo Nix,QB,DEN,71.5,,bo nix,8.0
2025,Mark Andrews,TE,BAL,73.8,,mark andrews,7.0
2025,Jerry Jeudy,WR,CLE,74.3,,jerry jeudy,33.0
2025,Chris Olave,WR,NO,75.8,,chris olave,34.0
2025,Evan Engram,TE,DEN,76.2,,evan engram,8.0
2025,Kaleb Johnson,RB,PIT,77.2,,kaleb johnson,27.0
2025,Deebo Samuel,WR,SF,78.4,,deebo samuel,35.0
2025,Rome Odunze,WR,CHI,79.7,,rome odunze,36.0
2025,Joe Mixon,RB,,79.8,,joe mixon,28.0
2025,David Njoku,TE,LAC,81.5,,david njoku,9.0
2025,Tyler Warren,TE,IND,82.9,,tyler warren,10.0
2025,Quinshon Judkins,RB,CLE,83.2,,quinshon judkins,29.0
2025,Jakobi Meyers,WR,JAX,84.4,,jakobi meyers,37.0
2025,Cooper Kupp,WR,SEA,85.6,,cooper kupp,38.0
2025,Tyrone Tracy,RB,NYG,86.1,,tyrone tracy,30.0
2025,Stefon Diggs,WR,,87.4,,stefon diggs,39.0
2025,Matthew Golden,WR,GB,87.7,,matthew golden,40.0
2025,Jared Goff,QB,DET,89.4,,jared goff,9.0
2025,Emeka Egbuka,WR,TB,90.2,,emeka egbuka,41.0
2025,Jordan Addison,WR,MIN,91.7,,jordan addison,42.0
2025,Travis Etienne,RB,NO,92.4,,travis etienne,31.0
2025,Kyler Murray,QB,MIN,93.7,,kyler murray,10.0
2025,Brian Robinson,RB,ATL,94.8,,brian robinson,32.0
