full_name,position,team,age,bye_week,status,years_exp,player_id,espn_id,yahoo_id,sportradar_id
Ellis Richardson,TE,,26.0,,Active,3.0,6462,3926590.0,32262.0,efd6f3c3-b752-4bc2-a4f2-b776c15c3ec0
Carl Tucker,TE,,24.0,,Active,1.0,7926,,,fde9c52b-0e2f-46e7-9b0e-9ada612ecec3
Le'Veon Bell,RB,TB,29.0,,Active,9.0,1408,15825.0,26671.0,7735c02a-ee75-447c-86e6-6c2168500050
Matt Seybert,TE,,24.0,,Active,1.0,8074,,,22ec09a7-6001-43b7-adf9-cf0df941ad0e
Kinkead Dent,QB,,25.0,,Inactive,0.0,13175,,,b1b21920-2b81-11f0-a7dc-b36f60eb4d60
Brandon Aubrey,K,DAL,31.0,,Active,3.0,11533,,,110e6fe0-1c34-11ee-8294-af17faac15de
DeAndrew White,WR,,30.0,,Inactive,7.0,2801,2515962.0,28800.0,e0abf267-f265-4682-9bb7-72bbcefda451
A.J. Rose,RB,,24.0,,Active,1.0,7918,,,aa9c3e2b-711b-44ed-9cb3-0fbed3f2fead
Ricky Jeune,WR,,28.0,,Active,4.0,5428,3055908.0,31388.0,e5395ca3-47d0-403b-84f5-41bfeba78e67
Brett Gabbert,QB,,25.0,,Active,0.0,13221,,,08f0fef0-3748-11f0-9677-41d005293433
Jerome Kapp,WR,,24.0,,Active,1.0,11522,,,64c0ef00-fa65-11ed-b161-c5ef733b4e80
Nick Boyle,TE,,29.0,,Active,8.0,2474,2574591.0,28559.0,9480dd9f-151f-4e6d-b5a3-35f07bda4cac
Aaron Shampklin,RB,,25.0,,Active,3.0,8809,,,c09be300-d30d-11ec-8b77-45b1765fd110
Parker Washington,WR,JAX,24.0,,Active,3.0,9487,,,c05863ec-3414-4ae6-a8d2-830aed99b6d3
Jakeem Grant,WR,,32.0,,Active,8.0,3342,2577641.0,29420.0,5de11f0b-8da9-42ba-9a93-db7f0a58543b
Jaron Brown,WR,,32.0,,Active,9.0,1684,16172.0,27074.0,51952c7b-11c5-4229-baf9-08d4694cc2ad
Salvon Ahmed,RB,CHI,27.0,,Active,6.0,6918,4243315.0,33265.0,0dbbd211-0372-4751-9751-e4df4ab1f8eb
Tommy Sweeney,TE,,29.0,,Active,6.0,6137,3122818.0,32060.0,ec63ee49-3a03-44ca-a083-3916f0bccd76
Bryce Williams,TE,,28.0,,Active,6.0,3561,2981998.0,29879.0,a204547e-ecd3-4116-909a-ce823caa9067
CeeDee Lamb,WR,DAL,27.0,,Active,6.0,6786,4241389.0,32687.0,a72ea15b-5199-4101-a300-846e1c655add
Michael Gallup,WR,,29.0,,Active,7.0,5038,4036348.0,31051.0,9e174ff2-ca0e-4e6b-96f7-90f0088f7edd
Bucky Irving,RB,TB,23.0,,Active,2.0,11584,,,c5249c6f-bd1b-4352-8228-de2bd499ca0d
De'Anthony Thomas,WR,,29.0,,Inactive,8.0,2023,16945.0,27652.0,35823109-daf1-4825-92b8-564271398ecb
Kendall Milton,RB,CIN,24.0,,Active,2.0,11649,,,d0dd8a70-072c-11ef-a49f-41e71daeb2e1
Jerry Jeudy,WR,CLE,27.0,,Active,6.0,6783,4241463.0,32685.0,eaaa4a61-c2a7-4926-8e9b-3ec71be2f991
Tyren Montgomery,WR,TEN,,,Active,0.0,13600,,,26b1d8a0-4198-11f1-a9c5-c5da6e8614a1
Jacob Cowing,WR,SF,25.0,,Active,2.0,11616,,,9c145f4f-c9b1-4c2c-b011-8dc40167d0f1
Miles Boykin,WR,,29.0,,Active,6.0,5965,3932423.0,31925.0,d1ed6f8c-1611-4695-8b48-5adce0de50dd
Dorian Singer,WR,,23.0,,Active,1.0,13064,,,bd460ff0-2567-11f0-831d-a5b6ed781dda
Dante Pettis,WR,,30.0,,Active,8.0,4992,3127306.0,31014.0,20d16690-560b-4a01-af20-8870ef07ea70
Christian Sims,TE,,22.0,,Active,1.0,11155,,,825c01a0-e857-11ed-95b2-5d386c06de36
