full_name,position,team,age,bye_week,status,years_exp,player_id,espn_id,yahoo_id,sportradar_id,gsis_id
Brandon Aubrey,K,DAL,31.0,,Active,3.0,11533,,,110e6fe0-1c34-11ee-8294-af17faac15de,00-0037692
Aaron Shampklin,RB,,25.0,,Active,3.0,8809,,,c09be300-d30d-11ec-8b77-45b1765fd110,00-0037609
Parker Washington,WR,JAX,24.0,,Active,3.0,9487,,,c05863ec-3414-4ae6-a8d2-830aed99b6d3,00-0038606
CeeDee Lamb,WR,DAL,27.0,,Active,6.0,6786,4241389.0,32687.0,a72ea15b-5199-4101-a300-846e1c655add,00-0036358
Bucky Irving,RB,TB,23.0,,Active,2.0,11584,,,c5249c6f-bd1b-4352-8228-de2bd499ca0d,00-0039361
Kendall Milton,RB,CIN,24.0,,Active,2.0,11649,,,d0dd8a70-072c-11ef-a49f-41e71daeb2e1,00-0039266
Jerry Jeudy,WR,CLE,27.0,,Active,6.0,6783,4241463.0,32685.0,eaaa4a61-c2a7-4926-8e9b-3ec71be2f991,00-0036407
Jacob Cowing,WR,SF,25.0,,Active,2.0,11616,,,9c145f4f-c9b1-4c2c-b011-8dc40167d0f1,00-0039365
Dante Pettis,WR,,30.0,,Active,8.0,4992,3127306.0,31014.0,20d16690-560b-4a01-af20-8870ef07ea70,00-0034860
Kayshon Boutte,WR,NE,24.0,,Active,3.0,9504,,,9c054866-5e6c-460b-9af3-ebf91e7d0a3e,00-0038608
John Ross,WR,,29.0,,Active,7.0,4038,3052177.0,30122.0,938b363a-6967-4cef-bcd2-bb358a9f6c98,00-0033460
Omarion Hampton,RB,LAC,23.0,,Active,1.0,12507,,,3e1b7908-79ee-4a23-97b9-5190725a2e5e,00-0040666
Jaleel McLaughlin,RB,DEN,25.0,,Active,3.0,11439,,,60b4ded0-f321-11ed-ab27-e38fa04fd6c0,00-0038794
Devontez Walker,WR,BAL,24.0,,Active,2.0,11629,,,b5d1ed29-c72a-45ff-ae60-337e13728b2f,00-0039792
Oronde Gadsden,TE,LAC,22.0,,Active,1.0,12493,,,6af50530-145a-4b34-946d-ce1a7f7d3166,00-0040189
LaJohntay Wester,WR,BAL,24.0,,Active,1.0,12699,,,f4e1d4de-95e9-452e-95ab-3555989d90bb,00-0040075
Kyle Pitts,TE,ATL,25.0,,Active,5.0,7553,,,1f3deb24-9ff8-4769-8f42-825eff7742f6,00-0036970
E.J. Jenkins,TE,PHI,27.0,,Active,3.0,11304,,,626a1dd0-ebab-11ed-bb4c-e536974648f2,00-0038498
Joe Flacco,QB,CIN,41.0,,Active,18.0,19,11252.0,8795.0,64797df2-efd3-4b27-86ee-1d48f7edb09f,00-0026158
Mo Alie-Cox,TE,IND,32.0,,Active,9.0,4054,2998565.0,30112.0,8809c0dd-786b-4255-a7d0-333c9498c19a,00-0033217
Robbie Chosen,WR,,32.0,,Active,10.0,3423,2574808.0,29785.0,e81fb788-1478-4936-ae12-f6ed7ec23476,00-0032688
Jordan Matthews,TE,,32.0,,Active,11.0,1800,16763.0,27570.0,7b96a836-666b-47b6-a0a7-9dbb0b4c53e8,00-0031299
Jake Tonges,TE,SF,26.0,,Active,4.0,8698,,,8d9236c0-ce09-11ec-9598-03840dd5f387,00-0037112
Brycen Tremayne,WR,CAR,26.0,,Active,3.0,11157,,,2a3cbc30-e8ed-11ed-bd02-25f41a9e059e,00-0038840
Pierre Strong,RB,GB,27.0,,Active,4.0,8116,,,8a9a3c7f-57a1-4064-9bda-2c7fad7b5c01,00-0038098
Davis Mills,QB,HOU,27.0,,Active,5.0,7585,,,7d51fab7-2d52-4d19-a021-19a123af0d10,00-0036898
Ameer Abdullah,RB,JAX,33.0,,Active,11.0,2359,2576336.0,28442.0,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,00-0032104
Drew Lock,QB,SEA,29.0,,Active,7.0,5854,3924327.0,31874.0,94325301-e0ad-4a9f-a0e5-ffec0f529be3,00-0035704
Trey Sermon,RB,,26.0,,Active,5.0,7593,,,b7146193-fcd1-4b02-a6da-625fe467f60e,00-0036984
Audric Estime,RB,NO,22.0,,Active,2.0,11579,,,3b86dd7c-0b21-448d-a662-5675e87fd0da,00-0039373
,DEF,HOU,,,,,HOU,,,,
Dak Prescott,QB,DAL,32.0,,Active,10.0,3294,2577417.0,29369.0,86197778-8d4b-4eba-affe-08ef7be7c70b,00-0033077
Matthew Stafford,QB,LAR,38.0,,Active,17.0,421,12483.0,9265.0,ade43b1a-0601-4672-83b6-d246bc066a19,00-0026498
Johnny Wilson,WR,PHI,25.0,,Active,2.0,11636,,,e8d389b5-56c8-4276-9983-0dbcc1663507,00-0039236
Khalil Shakir,WR,BUF,26.0,,Active,4.0,8134,,,0ce9ddce-bdf6-469c-8a32-9cf0ed3714a4,00-0037261
Noah Gray,TE,KC,27.0,,Active,5.0,7828,,,c97dfcb6-b999-476f-8487-f3848e92df17,00-0036637
,DEF,NE,,,,,NE,,,,
Joe Milton,QB,DAL,26.0,,Active,2.0,11557,,,74043480-24ef-4c26-99d4-18f43d5b41d3,00-0039398
Justice Hill,RB,BAL,28.0,,Active,7.0,5995,4038441.0,31945.0,528e71ec-8fb3-4928-ace5-fc5ffbf26eb3,00-0034975
Colston Loveland,TE,CHI,22.0,,Active,1.0,12517,,,62cd2cd5-8b40-4ee6-bfb8-0083edd105a2,00-0040126
James Cook,RB,BUF,26.0,,Active,4.0,8138,,,ce5de0e5-9f76-42ee-b93a-3ef88af9b0a7,00-0037248
Jahan Dotson,WR,ATL,26.0,,Active,4.0,8119,,,d4a7917d-f327-431b-9b87-83af341c3e21,00-0037741
Efton Chism,WR,NE,24.0,,Active,1.0,12542,,,6704a490-2534-11f0-a084-3df705a62310,00-0040563
Jauan Jennings,WR,MIN,28.0,,Active,6.0,7049,3886598.0,32887.0,3ae9f0fa-c711-4663-80cf-4707856c07aa,00-0036259
Rachaad White,RB,WAS,27.0,,Active,4.0,8136,,,4d3f2f57-215c-4cb4-bf75-a7ecdcdded70,00-0037256
Malik Washington,WR,MIA,25.0,,Active,2.0,11610,,,d7f4fd2c-ba4f-49ca-bd92-443a506e9eb4,00-0039880
Sam Darnold,QB,SEA,29.0,,Active,8.0,4943,3912547.0,30973.0,13d826c5-9b22-4e0a-a877-02d8c84c546b,00-0034869
Charlie Jones,WR,CIN,27.0,,Active,3.0,10228,,,c634c231-61fb-4725-8533-2cce14bfebbf,00-0038576
Andy Dalton,QB,PHI,38.0,,Active,15.0,829,14012.0,24822.0,d2a0e5af-3850-4f16-8e40-a0b1d15c2ce1,00-0027973
Jayden Reed,WR,GB,26.0,,Active,3.0,10222,,,23a306bc-5f77-4574-a575-bd599f243185,00-0039146
Greg Zuerlein,K,,37.0,,Active,13.0,1266,14993.0,25881.0,93d11276-45d2-4168-a9b7-df0cbf12dabb,00-0029621
Jason Brownlee,WR,KC,27.0,,Active,3.0,11311,,,f286b160-eba8-11ed-87ba-cb97497fad29,00-0038492
Anders Carlson,K,,27.0,,Active,2.0,11008,,,5a6ae290-675d-401a-aaee-140a272cf061,00-0038402
Chris Brooks,RB,GB,26.0,,Active,3.0,11370,,,35a0d440-f017-11ed-bedb-53f19b227cc3,00-0038685
Dylan Laube,RB,LV,26.0,,Active,2.0,11574,,,de5b56bd-33f0-48bc-b1e3-9523bd6bba64,00-0039407
Andrew Beck,RB,NYJ,30.0,,Active,7.0,6323,3125107.0,32225.0,b556a98d-16aa-4a0d-9134-1b59c46cc640,00-0034959
Kadarius Toney,WR,,25.0,,Active,3.0,7606,,,b4af6462-3e3a-49d5-9d96-482ad9f3c0c8,00-0036913
Cade Otton,TE,TB,27.0,,Active,4.0,8111,,,f23517bd-ae85-484a-8ecb-1f7a2d851e48,00-0038129
Chris Moore,WR,,32.0,,Active,10.0,3269,2576581.0,29341.0,0b504d67-639b-4ba8-979a-498a3086257b,00-0032398
Stephen Sullivan,TE,,28.0,,Active,5.0,6970,4035426.0,32921.0,a41b8454-0326-4c56-87a2-f2aac3814961,00-0036438
Brenden Bates,TE,CLE,26.0,,Active,2.0,12374,,,eb055af0-0e1a-11ef-aa6c-9183e6948e0f,00-0039458
Kimani Vidal,RB,LAC,24.0,,Active,2.0,11647,,,ed923635-f021-4b76-9dbb-9f1901eeaab9,00-0039391
Khalil Herbert,RB,,27.0,,Active,5.0,7608,,,02af99e0-3c84-4d4e-937a-a9f29a02323b,00-0036906
Harrison Butker,K,KC,30.0,,Active,9.0,4227,3055899.0,30346.0,4ceb866c-8eaf-49b5-9043-56228e43a2e5,00-0033303
Steven Sims,WR,,28.0,,Active,7.0,6402,3917960.0,32187.0,4a213e4e-b0ba-4124-833e-33c528bd5908,00-0034928
Ko Kieft,TE,TB,28.0,,Active,4.0,8484,,,f96b8338-4ffb-4612-8c29-58dc3b12db69,00-0037311
Jaxon Smith-Njigba,WR,SEA,24.0,,Active,3.0,9488,,,6215db71-1e13-4c62-8f14-2005d33dee47,00-0038543
Lew Nichols,RB,PIT,24.0,,Active,3.0,9510,,,72e4032d-8d7b-484f-95a2-a73fbb2c67f4,00-0038409
Isaiah Davis,RB,NYJ,24.0,,Active,2.0,11571,,,849789be-b8f0-4d97-a777-2fcf336efa6a,00-0039798
Jaylen Waddle,WR,DEN,27.0,,Active,5.0,7526,,,0ff9a975-669d-4851-a95d-ab28d9fc29c4,00-0036613
Jahdae Walker,WR,CHI,23.0,,Active,1.0,13079,,,46352a70-25f5-11f0-83f2-77ca9eeac893,00-0040277
,DEF,BAL,,,,,BAL,,,,
Clyde Edwards-Helaire,RB,,26.0,,Active,6.0,6820,4242214.0,32702.0,8aa01565-4481-443a-9951-642c98ded113,00-0036360
Jaelon Darden,WR,,26.0,,Active,4.0,7713,,,ada174f6-9300-46ba-833f-018d007f20ce,00-0036877
Younghoe Koo,K,,31.0,,Active,9.0,4666,3049899.0,30426.0,a8c79523-3d0e-48dd-b4c6-e3d8afd24a13,00-0033702
