full_name,position,team,age,bye_week,status,years_exp,player_id,espn_id,yahoo_id,sportradar_id,gsis_id,passing_yards_2024,passing_tds_2024,rushing_yards_2024,rushing_tds_2024,carries_2024,receptions_2024,receiving_yards_2024,receiving_tds_2024,targets_2024,passing_yards_2025,passing_tds_2025,rushing_yards_2025,rushing_tds_2025,carries_2025,receptions_2025,receiving_yards_2025,receiving_tds_2025,targets_2025,snap_share_2024,target_share_2024,snap_share_2025,target_share_2025,adp,adp_rank,ecr_rank,ecr_tier,sos_season,proj_points,custom_proj_points,proj_divergence,bonus_points,total_points,vols,games,wk_mean,wk_std,boom_rate,bust_rate,consistency,is_rookie,draft_pick,availability,team_changed,team_stayed,cv_rel,new_hc_team,floor,ceiling,p10,p90,P_pos1,P_pos2,P_pos3,p_elite,p_startable,p_bust,floor_healthy,ceiling_healthy,xppg,xppg_diff,switched_team,regression
Brandon Aubrey,K,DAL,31.0,14.0,Active,3.0,11533,,,110e6fe0-1c34-11ee-8294-af17faac15de,00-0037692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,84.8,84.8,193.0,10.0,2 out of 5 stars,153.0,42.17275000000001,0.0,133.7791976496524,175.9519476496524,27.3451088734154,34.0,11.723529411764709,6.481117506686047,0.3529411764705882,0.088235294117647,0.5528298926927385,False,,0.9828571428571428,False,True,0.9701579484301605,False,121.77285180797284,227.9567169090496,98.81596460087398,267.67105202028665,0.6112,0.283,0.1058,0.21965,0.6112,0.3888,123.27959964659952,220.91122303690497,,,False,
Aaron Shampklin,RB,,25.0,,Active,3.0,8809,,,c09be300-d30d-11ec-8b77-45b1765fd110,00-0037609,0.0,0.0,17.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.1466666666666666,0.0,,,170.0,170.0,,,,,,,,,,,,,,,,True,,,False,False,1.0,False,,,,,,,,,,,,,,,True,
Parker Washington,WR,JAX,24.0,7.0,Active,3.0,9487,,,c05863ec-3414-4ae6-a8d2-830aed99b6d3,00-0038606,0.0,0.0,0.0,0.0,0.0,32.0,390.0,3.0,51.0,0.0,0.0,0.0,0.0,7.0,58.0,847.0,5.0,95.0,0.5529411764705883,0.0977011494252873,0.61375,0.1736745886654479,102.1,102.1,95.0,7.0,4 out of 5 stars,178.7,182.409715,0.0299417924887008,49.16360181022655,231.57331681022657,4.8943084444591705,30.0,8.723333333333333,7.271279512377888,0.0666666666666666,0.4,0.8335436964896319,False,,0.7998991596638655,False,True,0.9028040024334612,False,135.16418133069925,321.351091286559,88.74525273666085,377.0715108253599,0.18695,0.1957,0.167,0.04135,0.4665,0.5335,179.33336197185167,279.43554744724935,10.374285714285715,-0.1028571428571432,False,Sustainable
CeeDee Lamb,WR,DAL,27.0,14.0,Active,6.0,6786,4241389.0,32687.0,a72ea15b-5199-4101-a300-846e1c655add,00-0036358,0.0,0.0,70.0,0.0,14.0,101.0,1194.0,6.0,152.0,0.0,0.0,2.0,0.0,1.0,75.0,1077.0,3.0,117.0,0.8019999999999999,0.2443729903536977,0.7285714285714285,0.1927512355848435,10.6,10.6,7.0,2.0,2 out of 5 stars,273.5,287.256215,0.0761443337981285,35.37662657131668,322.6328415713167,95.9538332055493,28.0,16.58214285714286,7.244617597015326,0.25,0.0714285714285714,0.4368927260745834,False,,0.8587226890756303,False,True,0.4731947507914552,False,237.30215257425584,416.20619817296614,177.7089510821813,464.8758186938523,0.49435,0.24505,0.11535,0.14405,0.8084,0.1916,267.0417335089695,374.3327121532767,17.30142857142857,-0.7192857142857108,False,Sustainable
Bucky Irving,RB,TB,23.0,10.0,Active,2.0,11584,,,c5249c6f-bd1b-4352-8228-de2bd499ca0d,00-0039361,0.0,0.0,1122.0,8.0,207.0,47.0,392.0,0.0,52.0,0.0,0.0,588.0,1.0,173.0,30.0,277.0,3.0,35.0,0.4441176470588235,0.0923623445825932,0.616,0.0646950092421441,55.3,55.3,56.0,6.0,2 out of 5 stars,228.6,219.974745,0.0606779988630158,54.317930608138745,274.2926756081388,43.86174240595557,27.0,14.32962962962963,6.868815529669346,0.1481481481481481,0.074074074074074,0.4793435494987654,False,,0.8093725490196078,False,True,0.5345268206780973,False,161.5546766849013,381.0409931643315,99.45649276345073,445.37525044821024,0.26425,0.30595,0.2118,0.04195,0.69305,0.30695,214.42273611348784,327.71398132957796,13.4575,0.7996428571428567,False,Sustainable
Kendall Milton,RB,CIN,24.0,6.0,Active,2.0,11649,,,d0dd8a70-072c-11ef-a49f-41e71daeb2e1,00-0039266,,,,,,,,,,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.04,,0.06,0.0,170.0,170.0,,,,,,,,,,,,,,,,True,,,False,True,1.0,False,,,,,,,,,,,,,,,False,
Jerry Jeudy,WR,CLE,27.0,11.0,Active,6.0,6783,4241463.0,32685.0,eaaa4a61-c2a7-4926-8e9b-3ec71be2f991,00-0036407,0.0,0.0,0.0,0.0,0.0,90.0,1229.0,4.0,145.0,0.0,0.0,5.0,0.0,1.0,50.0,602.0,2.0,106.0,0.8970588235294118,0.2287066246056782,0.8452941176470588,0.2030651340996168,163.8,163.8,148.0,9.0,3 out of 5 stars,144.7,140.055305,0.0556454292307083,17.630592200058686,157.6858972000587,-68.99311116570871,34.0,10.576470588235296,8.156241663589077,0.1176470588235294,0.4117647058823529,0.7711685666352296,False,,0.9007394957983192,False,True,0.8352460362200346,True,115.85066132769472,206.6511329015663,92.751425154819,237.21020362236544,0.0111,0.0498,0.11515,0.00075,0.10915,0.89085,121.46410821453108,195.48087739936523,11.25,-0.6147058823529399,False,Sustainable
Jacob Cowing,WR,SF,25.0,8.0,Active,2.0,11616,,,9c145f4f-c9b1-4c2c-b011-8dc40167d0f1,00-0039365,0.0,0.0,7.0,0.0,1.0,4.0,80.0,0.0,6.0,,,,,,,,,,0.104,0.0116959064327485,,,170.0,170.0,,,,0.0,0.0,0.0,12.89,12.89,-213.78900836576744,15.0,0.8466666666666666,2.2478137526642783,0.0,0.9333333333333332,2.6548981330680457,False,,0.849270588235294,False,False,2.875497314275196,False,6.887547479396964,18.08855969746412,4.8073795229943395,22.562686691748027,0.0,0.0,0.0,0.0,0.0,1.0,7.938894894337671,17.06127070041757,,,False,
Dante Pettis,WR,,30.0,,Active,8.0,4992,3127306.0,31014.0,20d16690-560b-4a01-af20-8870ef07ea70,00-0034860,0.0,0.0,0.0,0.0,0.0,12.0,120.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,9.0,127.0,0.0,11.0,0.3075,0.0541586073500967,0.2224999999999999,0.0194690265486725,170.0,170.0,,,,,,,,,,16.0,3.23125,3.721239712783899,0.0,0.8125,1.1516409169157136,False,,,True,False,1.247332363661609,False,,,,,,,,,,,,,5.0425,-0.7341666666666669,True,Sustainable
Kayshon Boutte,WR,NE,24.0,11.0,Active,3.0,9504,,,9c054866-5e6c-460b-9af3-ebf91e7d0a3e,00-0038608,0.0,0.0,0.0,0.0,0.0,43.0,589.0,3.0,68.0,0.0,0.0,0.0,0.0,0.0,33.0,551.0,6.0,46.0,0.7806666666666666,0.136,0.6749999999999999,0.0954356846473029,170.6,170.6,168.0,10.0,2 out of 5 stars,100.6,79.11593,0.3879044505741776,8.65217856841503,87.76810856841503,-138.9108997973524,29.0,8.413793103448276,7.007940605277245,0.1034482758620689,0.4827586206896552,0.8329109735780332,False,,0.7494789915966386,False,True,0.902118705694456,False,40.912885577431545,128.74076746364406,25.234442058672276,157.99852124953057,0.0014,0.0059,0.017,0.00025,0.014,0.986,62.074551740912575,110.5716334357152,7.046969696969697,1.371212121212121,False,TD-lucky
John Ross,WR,,29.0,,Active,7.0,4038,3052177.0,30122.0,938b363a-6967-4cef-bcd2-bb358a9f6c98,00-0033460,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,,,,,,,,,,0.21,0.0047846889952153,,,169.9,169.9,,,,,,,,,,,,,,,,True,,,False,False,1.0,False,,,,,,,,,,,,,,,False,
Omarion Hampton,RB,LAC,23.0,7.0,Active,1.0,12507,,,3e1b7908-79ee-4a23-97b9-5190725a2e5e,00-0040666,,,,,,,,,,0.0,0.0,545.0,4.0,124.0,32.0,192.0,1.0,35.0,,,0.6344444444444445,0.0643382352941176,20.6,20.6,24.0,4.0,3 out of 5 stars,263.8,273.69151,0.053068052742894,60.94951019883212,334.6410201988321,104.2100869966489,9.0,15.077777777777776,8.07508169893311,0.3333333333333333,0.1111111111111111,0.5355617928548121,False,,,False,True,0.5972170538451812,False,205.62791814431577,459.67056566092185,126.13347283248724,532.768909236315,0.4424,0.2698,0.1419,0.11905,0.7987,0.2013,262.6019627524175,399.9257523763241,13.403,0.15699999999999825,False,Sustainable
Jaleel McLaughlin,RB,DEN,25.0,10.0,Active,3.0,11439,,,60b4ded0-f321-11ed-ab27-e38fa04fd6c0,00-0038794,0.0,0.0,496.0,1.0,113.0,24.0,76.0,2.0,27.0,0.0,0.0,187.0,1.0,37.0,4.0,27.0,0.0,6.0,0.281875,0.0491803278688524,0.16,0.0102739726027397,170.0,170.0,292.0,12.0,2 out of 5 stars,,,,,,,24.0,5.441666666666667,3.442309218188161,0.0,0.5833333333333334,0.632583623556783,False,,0.8113949579831933,False,True,0.7054082890369812,False,,,,,,,,,,,,,5.4292592592592595,-0.47370370370370374,False,Sustainable
Adam Randall,RB,BAL,22.0,13.0,Active,0.0,13302,,,4fa0fbdb-05a1-4ca0-89dd-f999978b5827,RAN022436,,,,,,,,,,,,,,,,,,,,,,,170.2,170.2,309.0,13.0,3 out of 5 stars,66.0,38.791979999999995,0.9100974638666858,8.011917540675435,46.80389754067543,-183.6270356615078,,,,,,,True,174.0,,False,False,1.0,True,15.581015827164862,65.17107757203364,9.753056418616886,90.17407581005904,0.0009,0.00365,0.0128,0.00015,0.00935,0.99065,19.635183997161896,62.0348213310728,,,False,
Devontez Walker,WR,BAL,25.0,13.0,Active,2.0,11629,,,b5d1ed29-c72a-45ff-ae60-337e13728b2f,00-0039792,0.0,0.0,0.0,0.0,0.0,1.0,21.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,136.0,3.0,8.0,0.1,0.0065645514223194,0.2466666666666666,0.0196560196560196,170.0,170.0,430.0,15.0,4 out of 5 stars,35.0,35.11819,0.0053018279140955,3.810829684702773,38.92901968470277,-187.74998868106465,11.0,4.245454545454546,5.951699528095086,0.0,0.7272727272727273,1.40189924644638,False,,,False,True,1.518385006125456,True,23.725795896136795,54.49922048855366,16.707542928539965,65.09709380317,0.0,0.0,0.0,0.0,0.0,1.0,27.928822309982912,50.11534739902271,,,False,
Behren Morton,QB,NE,24.0,11.0,Active,0.0,13295,,,0fe9c501-799c-45f7-a48f-2b4d9d6e9452,MOR767384,,,,,,,,,,,,,,,,,,,,,,,170.0,170.0,,,,9.8,11.84,0.0,-0.3606770431982249,11.479322956801775,-314.8243688640712,,,,,,,True,234.0,,False,False,1.0,False,4.35211402960758,15.806746821278026,2.7960131507571067,21.64471937352025,0.0,0.0,0.0286,0.0,0.0,1.0,5.1050511168891575,15.219988711954194,,,False,
Oronde Gadsden,TE,LAC,23.0,7.0,Active,1.0,12493,,,6af50530-145a-4b34-946d-ce1a7f7d3166,00-0040189,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,49.0,664.0,3.0,69.0,,,0.626,0.1268382352941176,168.2,168.2,147.0,9.0,4 out of 5 stars,122.1,117.47747,0.0591636450648189,14.353913228786569,131.83138322878656,-55.10918439897608,15.0,8.893333333333334,7.619286305785064,0.1333333333333333,0.3333333333333333,0.8567413387314539,False,,0.838870588235294,False,True,0.9702405280048528,False,76.95718051703666,181.17632214308145,55.46695033367566,221.20056469578176,0.1554,0.33855,0.3097,0.0201,0.1554,0.8446,88.82571454861201,170.19612005171533,7.884375,0.703125,False,Sustainable
LaJohntay Wester,WR,BAL,24.0,13.0,Active,1.0,12699,,,f4e1d4de-95e9-452e-95ab-3555989d90bb,00-0040075,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0617647058823529,0.0,170.0,170.0,,,,0.0,0.0,0.0,14.82,14.82,-211.8590083657674,14.0,0.0,0.0,0.0,1.0,,False,,0.8375058823529411,False,True,1.0,True,9.599795586108664,20.30852275998057,6.811324549390718,23.85669020906312,0.0,0.0,0.0,0.0,0.0,1.0,11.220433594230355,18.548250861695315,,,False,
