nn,name,position,pos_adp_rank,team_2025,share_2025,workload_2025,weeks_2025,ppg_2025,nfl_pick
bijan robinson,Bijan Robinson,RB,2.0,ATL,0.6538,287.0,17.0,21.81,8.0
jahmyr gibbs,Jahmyr Gibbs,RB,1.0,DET,0.5971,243.0,17.0,21.58,12.0
puka nacua,Puka Nacua,WR,1.0,LA,0.4523,166.0,16.0,23.44,177.0
ja marr chase,Ja'Marr Chase,WR,2.0,CIN,0.5041,185.0,16.0,19.6,5.0
christian mccaffrey,Christian McCaffrey,RB,3.0,SF,0.7717,311.0,17.0,24.51,8.0
amon ra st brown,Amon-Ra St. Brown,WR,4.0,DET,0.5134,172.0,17.0,19.06,112.0
jaxon smith njigba,Jaxon Smith-Njigba,WR,3.0,SEA,0.5621,163.0,17.0,21.17,20.0
jonathan taylor,Jonathan Taylor,RB,4.0,IND,0.866,323.0,17.0,21.31,41.0
de von achane,De'Von Achane,RB,5.0,MIA,0.6296,238.0,16.0,20.18,84.0
ceedee lamb,CeeDee Lamb,WR,5.0,DAL,0.3023,117.0,13.0,15.45,17.0
trey mcbride,Trey McBride,TE,1.0,ARI,0.7752,169.0,17.0,18.58,55.0
ashton jeanty,Ashton Jeanty,RB,8.0,LV,0.8664,266.0,17.0,14.42,6.0
james cook,James Cook,RB,6.0,BUF,0.7375,309.0,17.0,17.78,63.0
drake london,Drake London,WR,7.0,ATL,0.4118,112.0,12.0,16.82,8.0
chase brown,Chase Brown,RB,13.0,CIN,0.6946,232.0,17.0,16.62,163.0
justin jefferson,Justin Jefferson,WR,6.0,MIN,0.4796,141.0,17.0,11.85,22.0
saquon barkley,Saquon Barkley,RB,7.0,PHI,0.7692,280.0,16.0,14.52,2.0
brock bowers,Brock Bowers,TE,2.0,LV,0.5513,86.0,12.0,14.68,13.0
derrick henry,Derrick Henry,RB,10.0,BAL,0.7832,307.0,17.0,16.44,45.0
a j brown,A.J. Brown,WR,10.0,PHI,0.4158,121.0,15.0,14.69,51.0
rashee rice,Rashee Rice,WR,8.0,KC,0.25,78.0,8.0,18.76,55.0
omarion hampton,Omarion Hampton,RB,11.0,LAC,0.3454,124.0,9.0,15.08,22.0
nico collins,Nico Collins,WR,9.0,HOU,0.3468,120.0,15.0,15.08,89.0
kenneth walker,Kenneth Walker,RB,14.0,SEA,0.508,221.0,17.0,11.29,41.0
george pickens,George Pickens,WR,11.0,DAL,0.354,137.0,17.0,17.17,52.0
josh jacobs,Josh Jacobs,RB,12.0,GB,0.6062,234.0,15.0,15.81,24.0
chris olave,Chris Olave,WR,12.0,NO,0.4535,156.0,16.0,16.75,11.0
kyren williams,Kyren Williams,RB,17.0,LA,0.6271,259.0,17.0,15.49,164.0
jeremiyah love,Jeremiyah Love,RB,9.0,,,,,,3.0
josh allen,Josh Allen,QB,1.0,BUF,0.9256,112.0,16.0,22.79,7.0
breece hall,Breece Hall,RB,15.0,NYJ,0.7297,243.0,16.0,12.98,36.0
colston loveland,Colston Loveland,TE,3.0,CHI,0.6029,82.0,16.0,10.32,10.0
