team,position,sos_pa_pg,sos_delta,sos_rank
ARI,QB,19.46,-0.02,17
ATL,QB,19.61,0.13,14
BAL,QB,19.59,0.11,15
BUF,QB,19.15,-0.33,21
CAR,QB,19.26,-0.22,20
CHI,QB,18.49,-1.0,31
CIN,QB,19.74,0.26,12
CLE,QB,20.55,1.06,2
DAL,QB,19.87,0.39,10
DEN,QB,18.65,-0.83,29
DET,QB,19.35,-0.13,19
GB,QB,19.54,0.06,16
HOU,QB,20.06,0.58,7
IND,QB,19.83,0.35,11
JAX,QB,20.14,0.66,6
KC,QB,18.75,-0.73,28
LAR,QB,19.43,-0.05,18
LAC,QB,19.0,-0.48,25
LV,QB,18.22,-1.27,32
MIA,QB,18.88,-0.6,27
MIN,QB,20.24,0.76,3
NE,QB,19.07,-0.41,23
NO,QB,19.88,0.39,9
NYG,QB,20.2,0.72,4
NYJ,QB,18.51,-0.98,30
PHI,QB,21.09,1.61,1
PIT,QB,18.99,-0.49,26
SEA,QB,19.65,0.17,13
SF,QB,19.01,-0.47,24
TB,QB,19.08,-0.4,22
TEN,QB,20.19,0.7,5
WAS,QB,19.93,0.45,8
ARI,RB,21.81,-0.29,24
ATL,RB,22.3,0.21,11
BAL,RB,22.2,0.1,14
BUF,RB,21.57,-0.52,29
CAR,RB,21.43,-0.66,31
CHI,RB,21.59,-0.5,28
CIN,RB,21.65,-0.44,27
CLE,RB,22.87,0.77,1
DAL,RB,22.62,0.53,6
DEN,RB,21.69,-0.4,25
DET,RB,22.64,0.55,5
GB,RB,21.88,-0.21,22
HOU,RB,22.22,0.13,13
IND,RB,22.12,0.03,15
JAX,RB,21.96,-0.13,19
KC,RB,21.9,-0.19,21
LAR,RB,22.52,0.42,7
LAC,RB,21.68,-0.41,26
LV,RB,21.13,-0.97,32
MIA,RB,22.05,-0.04,17
MIN,RB,22.31,0.22,10
NE,RB,21.82,-0.27,23
NO,RB,22.79,0.7,2
NYG,RB,22.26,0.16,12
NYJ,RB,21.53,-0.57,30
PHI,RB,22.78,0.69,3
PIT,RB,22.1,0.0,16
SEA,RB,22.5,0.41,8
SF,RB,22.01,-0.09,18
TB,RB,21.95,-0.15,20
TEN,RB,22.34,0.25,9
WAS,RB,22.78,0.68,3
ARI,WR,30.63,0.05,15
ATL,WR,30.25,-0.32,17
BAL,WR,30.19,-0.39,18
BUF,WR,30.04,-0.53,22
CAR,WR,30.13,-0.45,21
CHI,WR,29.37,-1.2,31
CIN,WR,31.38,0.8,9
CLE,WR,31.57,1.0,7
DAL,WR,31.52,0.95,8
DEN,WR,29.52,-1.05,29
DET,WR,30.17,-0.41,19
GB,WR,30.56,-0.01,16
HOU,WR,32.16,1.58,2
IND,WR,30.68,0.1,13
JAX,WR,31.87,1.29,3
KC,WR,29.61,-0.97,27
LAR,WR,30.16,-0.42,20
LAC,WR,29.54,-1.03,28
LV,WR,28.64,-1.94,32
MIA,WR,29.7,-0.88,25
MIN,WR,31.82,1.25,4
NE,WR,29.67,-0.91,26
NO,WR,31.01,0.43,11
NYG,WR,31.7,1.13,6
NYJ,WR,29.5,-1.08,30
PHI,WR,32.88,2.3,1
PIT,WR,29.72,-0.86,24
SEA,WR,30.93,0.36,12
SF,WR,29.97,-0.6,23
TB,WR,30.64,0.06,14
TEN,WR,31.82,1.25,4
WAS,WR,31.04,0.47,10
ARI,TE,12.93,-0.36,24
ATL,TE,13.9,0.62,4
BAL,TE,14.05,0.77,2
BUF,TE,13.1,-0.18,18
CAR,TE,13.18,-0.11,16
CHI,TE,12.72,-0.56,31
CIN,TE,13.63,0.35,8
CLE,TE,14.29,1.01,1
DAL,TE,13.3,0.02,15
DEN,TE,13.01,-0.27,23
DET,TE,12.93,-0.35,24
GB,TE,12.83,-0.45,30
HOU,TE,13.35,0.06,14
IND,TE,13.52,0.23,9
JAX,TE,13.69,0.41,6
KC,TE,13.38,0.1,12
LAR,TE,13.03,-0.25,21
LAC,TE,13.03,-0.25,21
LV,TE,13.06,-0.23,20
MIA,TE,12.92,-0.36,26
MIN,TE,13.47,0.19,10
NE,TE,12.91,-0.37,27
NO,TE,13.43,0.15,11
NYG,TE,13.38,0.09,12
NYJ,TE,12.57,-0.72,32
PHI,TE,14.03,0.75,3
PIT,TE,13.71,0.43,5
SEA,TE,13.17,-0.12,17
SF,TE,12.91,-0.38,27
TB,TE,12.88,-0.41,29
TEN,TE,13.69,0.41,6
WAS,TE,13.07,-0.21,19
